Id,Weekly_Sales
1_1_2012-11-02,19741.346
1_1_2012-11-09,18797.876
1_1_2012-11-16,22248.458
1_1_2012-11-23,20911.25
1_1_2012-11-30,23683.244
1_1_2012-12-07,28719.733
1_1_2012-12-14,42852.496
1_1_2012-12-21,41903.044
1_1_2012-12-28,24158.866
1_1_2013-01-04,18143.395
1_1_2013-01-11,17008.799
1_1_2013-01-18,22822.468
1_1_2013-01-25,19977.88
1_1_2013-02-01,26213.521
1_1_2013-02-08,34768.411
1_1_2013-02-15,54060.1
1_1_2013-02-22,26085.928
1_1_2013-03-01,28876.381
1_1_2013-03-08,28961.818
1_1_2013-03-15,22218.281
1_1_2013-03-22,30231.451
1_1_2013-03-29,30613.779
1_1_2013-04-05,24833.359
1_1_2013-04-12,26149.53
1_1_2013-04-19,32658.661
1_1_2013-04-26,23946.072
1_1_2013-05-03,23893.538
1_1_2013-05-10,18859.164
1_1_2013-05-17,22151.495
1_1_2013-05-24,16434.224
1_1_2013-05-31,16765.794
1_1_2013-06-07,17126.998
1_1_2013-06-14,16922.587
1_1_2013-06-21,16861.946
1_1_2013-06-28,16394.128
1_1_2013-07-05,16706.283
1_1_2013-07-12,16531.053
1_1_2013-07-19,16307.767
1_1_2013-07-26,16926.748
1_2_2012-11-02,46428.155
1_2_2012-11-09,47963.115
1_2_2012-11-16,46132.572
1_2_2012-11-23,44233.409
1_2_2012-11-30,44696.006
1_2_2012-12-07,48617.459
1_2_2012-12-14,50534.5
1_2_2012-12-21,65615.36
1_2_2012-12-28,45584.169
1_2_2013-01-04,42785.906
1_2_2013-01-11,43494.963
1_2_2013-01-18,44128.723
1_2_2013-01-25,41611.874
1_2_2013-02-01,51547.972
1_2_2013-02-08,52617.764
1_2_2013-02-15,51157.197
1_2_2013-02-22,51493.191
1_2_2013-03-01,46982.441
1_2_2013-03-08,44722.883
1_2_2013-03-15,46706.841
1_2_2013-03-22,49911.255
1_2_2013-03-29,47839.225
1_2_2013-04-05,47409.812
1_2_2013-04-12,44892.175
1_2_2013-04-19,45317.226
1_2_2013-04-26,44500.257
1_2_2013-05-03,44920.48
1_2_2013-05-10,45302.6
1_2_2013-05-17,48540.24
1_2_2013-05-24,48646.149
1_2_2013-05-31,46305.672
1_2_2013-06-07,46518.697
1_2_2013-06-14,49194.656
1_2_2013-06-21,49461.147
1_2_2013-06-28,46654.652
1_2_2013-07-05,48417.379
1_2_2013-07-12,45642.901
1_2_2013-07-19,45011.749
1_2_2013-07-26,43848.2
1_3_2012-11-02,10559.506
1_3_2012-11-09,10545.568
1_3_2012-11-16,9940.964
1_3_2012-11-23,9650.314
1_3_2012-11-30,10271.382
1_3_2012-12-07,10772.09
1_3_2012-12-14,11737.953
1_3_2012-12-21,11196.552
1_3_2012-12-28,9059.413
1_3_2013-01-04,13001.637
1_3_2013-01-11,13853.555
1_3_2013-01-18,11659.795
1_3_2013-01-25,10602.093
1_3_2013-02-01,11755.593
1_3_2013-02-08,11839.088
1_3_2013-02-15,10452.887
1_3_2013-02-22,11288.41
1_3_2013-03-01,11399.603
1_3_2013-03-08,12120.659
1_3_2013-03-15,9941.196
1_3_2013-03-22,8929.046
1_3_2013-03-29,9856.587
1_3_2013-04-05,9580.967
1_3_2013-04-12,8893.948
1_3_2013-04-19,8852.974
1_3_2013-04-26,9566.899
1_3_2013-05-03,8545.58
1_3_2013-05-10,8867.323
1_3_2013-05-17,9883.74
1_3_2013-05-24,9039.326
1_3_2013-05-31,7930.556
1_3_2013-06-07,8369.516
1_3_2013-06-14,9814.729
1_3_2013-06-21,8350.264
1_3_2013-06-28,10649.045
1_3_2013-07-05,11301.432
1_3_2013-07-12,19168.711
1_3_2013-07-19,13374.086
1_3_2013-07-26,17127.145
1_4_2012-11-02,38152.022
1_4_2012-11-09,37849.774
1_4_2012-11-16,37796.09
1_4_2012-11-23,46564.14
1_4_2012-11-30,39215.771
1_4_2012-12-07,39206.119
1_4_2012-12-14,37613.883
1_4_2012-12-21,47785.93
1_4_2012-12-28,37402.131
1_4_2013-01-04,39505.932
1_4_2013-01-11,37687.14
1_4_2013-01-18,37431.323
1_4_2013-01-25,35092.16
1_4_2013-02-01,37963.036
1_4_2013-02-08,39982.391
1_4_2013-02-15,38926.745
1_4_2013-02-22,37655.409
1_4_2013-03-01,38653.734
1_4_2013-03-08,36986.465
1_4_2013-03-15,37115.605
1_4_2013-03-22,39576.082
1_4_2013-03-29,39783.378
1_4_2013-04-05,39785.265
1_4_2013-04-12,36586.985
1_4_2013-04-19,37939.237
1_4_2013-04-26,36488.161
1_4_2013-05-03,38214.65
1_4_2013-05-10,38098.278
1_4_2013-05-17,37884.837
1_4_2013-05-24,39018.189
1_4_2013-05-31,40457.296
1_4_2013-06-07,37801.334
1_4_2013-06-14,39448.434
1_4_2013-06-21,37894.932
1_4_2013-06-28,36975.499
1_4_2013-07-05,37843.604
1_4_2013-07-12,37174.502
1_4_2013-07-19,37602.556
1_4_2013-07-26,37758.315
1_5_2012-11-02,25709.448
1_5_2012-11-09,29266.372
1_5_2012-11-16,29247.814
1_5_2012-11-23,74140.072
1_5_2012-11-30,40537.909
1_5_2012-12-07,35029.455
1_5_2012-12-14,41484.593
1_5_2012-12-21,58054.596
1_5_2012-12-28,41983.603
1_5_2013-01-04,30290.429
1_5_2013-01-11,21410.431
1_5_2013-01-18,24291.144
1_5_2013-01-25,23674.265
1_5_2013-02-01,23847.346
1_5_2013-02-08,33414.718
1_5_2013-02-15,42521.068
1_5_2013-02-22,29152.316
1_5_2013-03-01,27296.432
1_5_2013-03-08,25673.835
1_5_2013-03-15,24720.844
1_5_2013-03-22,26730.584
1_5_2013-03-29,26759.566
1_5_2013-04-05,27336.296
1_5_2013-04-12,20488.139
1_5_2013-04-19,19317.782
1_5_2013-04-26,20639.567
1_5_2013-05-03,19813.671
1_5_2013-05-10,23730.88
1_5_2013-05-17,22080.591
1_5_2013-05-24,21421.066
1_5_2013-05-31,19429.144
1_5_2013-06-07,21149.522
1_5_2013-06-14,20970.268
1_5_2013-06-21,21413.903
1_5_2013-06-28,22109.829
1_5_2013-07-05,20264.752
1_5_2013-07-12,20509.925
1_5_2013-07-19,20800.514
1_5_2013-07-26,20360.804
1_6_2012-11-02,3842.72
1_6_2012-11-09,3340.759
1_6_2012-11-16,2906.972
1_6_2012-11-23,18629.83
1_6_2012-11-30,4546.306
1_6_2012-12-07,5841.01
1_6_2012-12-14,10913.271
1_6_2012-12-21,18040.239
1_6_2012-12-28,6700.525
1_6_2013-01-04,4610.23
1_6_2013-01-11,2651.83
1_6_2013-01-18,2455.504
1_6_2013-01-25,1882.818
1_6_2013-02-01,3227.004
1_6_2013-02-08,7338.85
1_6_2013-02-15,3659.369
1_6_2013-02-22,4191.819
1_6_2013-03-01,3123.292
1_6_2013-03-08,2908.602
1_6_2013-03-15,3655.361
1_6_2013-03-22,3871.839
1_6_2013-03-29,3020.145
1_6_2013-04-05,3404.72
1_6_2013-04-12,3260.68
1_6_2013-04-19,2927.016
1_6_2013-04-26,2826.096
1_6_2013-05-03,2960.052
1_6_2013-05-10,3533.535
1_6_2013-05-17,3777.566
1_6_2013-05-24,3587.973
1_6_2013-05-31,3244.992
1_6_2013-06-07,3825.394
1_6_2013-06-14,3625.424
1_6_2013-06-21,3752.82
1_6_2013-06-28,3807.27
1_6_2013-07-05,3315.42
1_6_2013-07-12,3553.828
1_6_2013-07-19,3485.668
1_6_2013-07-26,2506.967
1_7_2012-11-02,25095.886
1_7_2012-11-09,23606.856
1_7_2012-11-16,24534.782
1_7_2012-11-23,70987.312
1_7_2012-11-30,49068.57
1_7_2012-12-07,47159.846
1_7_2012-12-14,61240.113
1_7_2012-12-21,119302.15
1_7_2012-12-28,40118.149
1_7_2013-01-04,33450.982
1_7_2013-01-11,14588.622
1_7_2013-01-18,22282.456
1_7_2013-01-25,22905.58
1_7_2013-02-01,18355.118
1_7_2013-02-08,20586.944
1_7_2013-02-15,17160.47
1_7_2013-02-22,17711.241
1_7_2013-03-01,19535.702
1_7_2013-03-08,18988.846
1_7_2013-03-15,26244.622
1_7_2013-03-22,25575.148
1_7_2013-03-29,27090.943
1_7_2013-04-05,26631.646
1_7_2013-04-12,26255.732
1_7_2013-04-19,29742.871
1_7_2013-04-26,30144.197
1_7_2013-05-03,30444.962
1_7_2013-05-10,20514.183
