Id,Weekly_Sales
1_1_2012-11-02,38640.93
1_1_2012-11-09,39886.06
1_1_2012-11-16,19552.84
1_1_2012-11-23,20911.25
1_1_2012-11-30,22517.56
1_1_2012-12-07,31497.65
1_1_2012-12-14,45773.03
1_1_2012-12-21,55931.23
1_1_2012-12-28,19552.84
1_1_2013-01-04,16567.69
1_1_2013-01-11,16894.4
1_1_2013-01-18,17341.47
1_1_2013-01-25,17341.47
1_1_2013-02-01,21665.76
1_1_2013-02-08,46039.49
1_1_2013-02-15,54060.1
1_1_2013-02-22,20124.22
1_1_2013-03-01,20113.03
1_1_2013-03-08,21280.4
1_1_2013-03-15,22136.64
1_1_2013-03-22,26229.21
1_1_2013-03-29,20398.09
1_1_2013-04-05,23873.79
1_1_2013-04-12,17596.96
1_1_2013-04-19,16145.35
1_1_2013-04-26,16555.11
1_1_2013-05-03,16894.4
1_1_2013-05-10,18926.74
1_1_2013-05-17,18517.79
1_1_2013-05-24,15580.43
1_1_2013-05-31,17330.7
1_1_2013-06-07,16633.41
1_1_2013-06-14,16633.41
1_1_2013-06-21,16633.41
1_1_2013-06-28,16633.41
1_1_2013-07-05,15883.52
1_1_2013-07-12,16348.06
1_1_2013-07-19,16348.06
1_1_2013-07-26,16348.06
1_2_2012-11-02,48577.08
1_2_2012-11-09,49424.06
1_2_2012-11-16,44936.47
1_2_2012-11-23,45681.98
1_2_2012-11-30,45681.98
1_2_2012-12-07,46955.82
1_2_2012-12-14,49303.28
1_2_2012-12-21,65615.36
1_2_2012-12-28,43539.94
1_2_2013-01-04,44481.38
1_2_2013-01-11,43353.09
1_2_2013-01-18,43753.43
1_2_2013-01-25,43753.43
1_2_2013-02-01,45008.22
1_2_2013-02-08,54322.24
1_2_2013-02-15,50581.06
1_2_2013-02-22,51805.88
1_2_2013-03-01,53035.54
1_2_2013-03-08,53035.54
1_2_2013-03-15,41892.55
1_2_2013-03-22,51805.88
1_2_2013-03-29,41892.55
1_2_2013-04-05,41892.55
1_2_2013-04-12,41892.55
1_2_2013-04-19,47346.32
1_2_2013-04-26,41892.55
1_2_2013-05-03,47346.32
1_2_2013-05-10,49439.58
1_2_2013-05-17,46729.91
