Id,Weekly_Sales
1_1_2012-11-02,31579.9
1_1_2012-11-09,39886.06
1_1_2012-11-16,19552.84
1_1_2012-11-23,20911.25
1_1_2012-11-30,20911.25
1_1_2012-12-07,33305.92
1_1_2012-12-14,45773.03
1_1_2012-12-21,55931.23
1_1_2012-12-28,19124.58
1_1_2013-01-04,16145.35
1_1_2013-01-11,17359.7
1_1_2013-01-18,17341.47
1_1_2013-01-25,17341.47
1_1_2013-02-01,17341.47
1_1_2013-02-08,46039.49
1_1_2013-02-15,46845.87
1_1_2013-02-22,20124.22
1_1_2013-03-01,22366.88
1_1_2013-03-08,21280.4
1_1_2013-03-15,20398.09
1_1_2013-03-22,20334.23
1_1_2013-03-29,20398.09
1_1_2013-04-05,23873.79
1_1_2013-04-12,23873.79
1_1_2013-04-19,21904.47
1_1_2013-04-26,21904.47
1_1_2013-05-03,21904.47
1_1_2013-05-10,21904.47
1_1_2013-05-17,21904.47
1_1_2013-05-24,16963.55
1_1_2013-05-31,16065.49
1_1_2013-06-07,16963.55
1_1_2013-06-14,16637.62
1_1_2013-06-21,16333.14
1_1_2013-06-28,15363.5
1_1_2013-07-05,17688.76
1_1_2013-07-12,15363.5
1_1_2013-07-19,16348.06
1_1_2013-07-26,16348.06
1_2_2012-11-02,41443.25
1_2_2012-11-09,47313.62
1_2_2012-11-16,44936.47
1_2_2012-11-23,44405.02
1_2_2012-11-30,44405.02
1_2_2012-12-07,46955.82
1_2_2012-12-14,46955.82
1_2_2012-12-21,59889.32
1_2_2012-12-28,43539.94
1_2_2013-01-04,41596.99
1_2_2013-01-11,43753.43
1_2_2013-01-18,41596.99
1_2_2013-01-25,43753.43
1_2_2013-02-01,54322.24
1_2_2013-02-08,50581.06
1_2_2013-02-15,49202.06
1_2_2013-02-22,47080.12
1_2_2013-03-01,53035.54
1_2_2013-03-08,43615.49
1_2_2013-03-15,43615.49
1_2_2013-03-22,41892.55
1_2_2013-03-29,41892.55
1_2_2013-04-05,41892.55
1_2_2013-04-12,41892.55
1_2_2013-04-19,41892.55
1_2_2013-04-26,41892.55
1_2_2013-05-03,41892.55
1_2_2013-05-10,41892.55
1_2_2013-05-17,41892.55
1_2_2013-05-24,41892.55
1_2_2013-05-31,41892.55
1_2_2013-06-07,41892.55
