Id,Weekly_Sales
1_1_2012-11-02,20367.935
1_1_2012-11-09,19422.159
1_1_2012-11-16,20815.173
1_1_2012-11-23,21593.437
1_1_2012-11-30,26234.93
1_1_2012-12-07,30864.224
1_1_2012-12-14,44627.891
1_1_2012-12-21,41449.877
1_1_2012-12-28,25694.667
1_1_2013-01-04,19991.34
1_1_2013-01-11,16796.387
1_1_2013-01-18,25616.981
1_1_2013-01-25,20144.258
1_1_2013-02-01,23026.955
1_1_2013-02-08,32369.421
1_1_2013-02-15,50768.097
1_1_2013-02-22,25161.709
1_1_2013-03-01,30945.769
1_1_2013-03-08,29327.289
1_1_2013-03-15,21023.351
1_1_2013-03-22,28433.612
1_1_2013-03-29,31640.532
1_1_2013-04-05,33685.344
1_1_2013-04-12,23087.987
1_1_2013-04-19,23213.269
1_1_2013-04-26,19710.011
1_1_2013-05-03,19891.671
1_1_2013-05-10,18376.733
1_1_2013-05-17,18319.625
1_1_2013-05-24,16621.59
1_1_2013-05-31,17441.869
1_1_2013-06-07,16951.17
1_1_2013-06-14,17055.624
1_1_2013-06-21,16905.898
1_1_2013-06-28,16729.232
1_1_2013-07-05,17529.428
1_1_2013-07-12,16744.995
1_1_2013-07-19,16495.442
1_1_2013-07-26,17115.638
1_2_2012-11-02,47232.873
1_2_2012-11-09,48325.69
1_2_2012-11-16,45347.48
1_2_2012-11-23,44259.59
1_2_2012-11-30,43487.158
1_2_2012-12-07,48773.219
1_2_2012-12-14,51137.42
1_2_2012-12-21,65615.36
1_2_2012-12-28,45611.399
1_2_2013-01-04,43679.387
1_2_2013-01-11,43549.073
1_2_2013-01-18,43233.922
1_2_2013-01-25,42135.322
1_2_2013-02-01,49349.758
1_2_2013-02-08,53286.931
1_2_2013-02-15,51200.361
1_2_2013-02-22,52163.672
1_2_2013-03-01,48523.101
1_2_2013-03-08,45926.829
1_2_2013-03-15,46699.023
1_2_2013-03-22,49914.163
1_2_2013-03-29,47700.267
1_2_2013-04-05,47479.117
1_2_2013-04-12,45809.798
1_2_2013-04-19,45235.686
1_2_2013-04-26,45182.175
1_2_2013-05-03,44989.388
1_2_2013-05-10,45789.959
1_2_2013-05-17,49263.065
1_2_2013-05-24,48158.317
1_2_2013-05-31,46299.028
1_2_2013-06-07,46819.373
1_2_2013-06-14,49968.35
1_2_2013-06-21,48201.682
1_2_2013-06-28,46871.22
1_2_2013-07-05,47449.103
1_2_2013-07-12,46559.153
1_2_2013-07-19,46067.047
1_2_2013-07-26,45527.345
1_3_2012-11-02,9729.15
1_3_2012-11-09,11789.406
1_3_2012-11-16,10360.535
1_3_2012-11-23,9244.025
1_3_2012-11-30,9801.403
1_3_2012-12-07,11585.406
1_3_2012-12-14,12525.907
1_3_2012-12-21,12540.432
1_3_2012-12-28,9523.889
1_3_2013-01-04,13314.873
1_3_2013-01-11,13366.505
1_3_2013-01-18,11482.327
1_3_2013-01-25,10399.158
1_3_2013-02-01,12848.03
1_3_2013-02-08,12938.491
1_3_2013-02-15,12411.762
1_3_2013-02-22,12626.616
1_3_2013-03-01,11392.312
1_3_2013-03-08,11407.116
1_3_2013-03-15,10019.566
1_3_2013-03-22,10175.001
1_3_2013-03-29,10590.128
1_3_2013-04-05,10380.94
1_3_2013-04-12,9149.091
1_3_2013-04-19,9181.374
1_3_2013-04-26,9993.118
1_3_2013-05-03,9467.198
1_3_2013-05-10,9396.475
1_3_2013-05-17,9930.879
1_3_2013-05-24,9054.359
1_3_2013-05-31,8314.12
1_3_2013-06-07,8789.038
1_3_2013-06-14,11921.503
1_3_2013-06-21,10689.628
1_3_2013-06-28,10315.343
1_3_2013-07-05,12042.668
1_3_2013-07-12,10915.244
1_3_2013-07-19,15593.298
1_3_2013-07-26,17425.23
1_4_2012-11-02,38036.802
1_4_2012-11-09,38010.075
1_4_2012-11-16,38659.268
1_4_2012-11-23,45734.373
1_4_2012-11-30,37878.042
1_4_2012-12-07,38193.244
1_4_2012-12-14,38311.857
1_4_2012-12-21,47785.93
1_4_2012-12-28,40285.363
1_4_2013-01-04,38686.843
1_4_2013-01-11,36573.633
1_4_2013-01-18,35193.054
1_4_2013-01-25,34345.095
1_4_2013-02-01,38962.47
1_4_2013-02-08,39924.032
1_4_2013-02-15,38982.12
1_4_2013-02-22,39267.39
1_4_2013-03-01,37762.177
1_4_2013-03-08,36101.016
1_4_2013-03-15,37392.297
1_4_2013-03-22,39994.508
1_4_2013-03-29,39343.969
1_4_2013-04-05,38807.691
1_4_2013-04-12,36788.611
1_4_2013-04-19,36701.95
1_4_2013-04-26,36922.729
1_4_2013-05-03,36570.385
1_4_2013-05-10,36873.677
1_4_2013-05-17,38553.111
1_4_2013-05-24,38941.003
1_4_2013-05-31,38587.755
1_4_2013-06-07,38948.089
1_4_2013-06-14,42665.6
1_4_2013-06-21,40136.902
1_4_2013-06-28,38212.681
1_4_2013-07-05,39471.05
1_4_2013-07-12,38745.412
1_4_2013-07-19,38100.579
1_4_2013-07-26,37365.942
1_5_2012-11-02,26320.28
1_5_2012-11-09,30636.322
1_5_2012-11-16,30003.58
1_5_2012-11-23,79340.15
1_5_2012-11-30,33851.803
1_5_2012-12-07,33971.594
1_5_2012-12-14,42078.86
1_5_2012-12-21,53766.826
1_5_2012-12-28,34216.593
1_5_2013-01-04,24591.022
1_5_2013-01-11,20898.852
1_5_2013-01-18,24998.707
1_5_2013-01-25,23764.515
1_5_2013-02-01,31333.233
1_5_2013-02-08,36371.828
1_5_2013-02-15,43865.36
1_5_2013-02-22,31124.811
1_5_2013-03-01,29989.095
1_5_2013-03-08,25777.179
1_5_2013-03-15,24726.521
1_5_2013-03-22,27794.416
1_5_2013-03-29,27031.643
1_5_2013-04-05,25217.157
1_5_2013-04-12,21434.062
1_5_2013-04-19,18730.762
1_5_2013-04-26,21214.167
1_5_2013-05-03,18624.716
1_5_2013-05-10,22242.078
1_5_2013-05-17,22054.321
1_5_2013-05-24,19850.504
1_5_2013-05-31,18879.722
1_5_2013-06-07,21265.16
1_5_2013-06-14,20581.922
1_5_2013-06-21,21462.713
1_5_2013-06-28,22572.858
1_5_2013-07-05,20424.371
1_5_2013-07-12,20411.137
1_5_2013-07-19,21933.583
1_5_2013-07-26,19540.323
1_6_2012-11-02,3768.298
1_6_2012-11-09,3609.649
1_6_2012-11-16,2934.106
1_6_2012-11-23,17769.087
1_6_2012-11-30,6806.244
1_6_2012-12-07,5272.59
1_6_2012-12-14,9691.601
1_6_2012-12-21,18040.239
1_6_2012-12-28,7829.623
