Id,Weekly_Sales
1_1_2012-11-02,25558.172
1_1_2012-11-09,50990.936
1_1_2012-11-16,20760.781
1_1_2012-11-23,23911.709
1_1_2012-11-30,14579.168
1_1_2012-12-07,34380.877
1_1_2012-12-14,26257.628
1_1_2012-12-21,35130.48
1_1_2012-12-28,18828.932
1_1_2013-01-04,15593.794
1_1_2013-01-11,21791.997
1_1_2013-01-18,24074.721
1_1_2013-01-25,16673.925
1_1_2013-02-01,20279.22
1_1_2013-02-08,36707.989
1_1_2013-02-15,46121.958
1_1_2013-02-22,21094.216
1_1_2013-03-01,16517.381
1_1_2013-03-08,16226.045
1_1_2013-03-15,22201.225
1_1_2013-03-22,32888.45
1_1_2013-03-29,34409.443
1_1_2013-04-05,35932.954
1_1_2013-04-12,30469.462
1_1_2013-04-19,20622.155
1_1_2013-04-26,19188.528
1_1_2013-05-03,11228.534
1_1_2013-05-10,15690.01
1_1_2013-05-17,21495.687
1_1_2013-05-24,16885.833
1_1_2013-05-31,10781.528
1_1_2013-06-07,17076.771
1_1_2013-06-14,19620.177
1_1_2013-06-21,19390.049
1_1_2013-06-28,20488.277
1_1_2013-07-05,20243.615
1_1_2013-07-12,19208.861
1_1_2013-07-19,14342.305
1_1_2013-07-26,10999.785
1_2_2012-11-02,44126.945
1_2_2012-11-09,47766.482
1_2_2012-11-16,45056.747
1_2_2012-11-23,47271.995
1_2_2012-11-30,41820.651
1_2_2012-12-07,54213.67
1_2_2012-12-14,38838.414
1_2_2012-12-21,50258.844
1_2_2012-12-28,46494.996
1_2_2013-01-04,43372.199
1_2_2013-01-11,42404.235
1_2_2013-01-18,40967.991
1_2_2013-01-25,39782.666
1_2_2013-02-01,45478.48
1_2_2013-02-08,48435.103
1_2_2013-02-15,57573.81
1_2_2013-02-22,59770.365
1_2_2013-03-01,45948.673
1_2_2013-03-08,43809.702
1_2_2013-03-15,49959.11
1_2_2013-03-22,56020.832
1_2_2013-03-29,46206.021
1_2_2013-04-05,49520.606
1_2_2013-04-12,41967.316
1_2_2013-04-19,42321.511
1_2_2013-04-26,41057.597
1_2_2013-05-03,45008.32
1_2_2013-05-10,46248.602
1_2_2013-05-17,50505.132
1_2_2013-05-24,51948.218
1_2_2013-05-31,45565.028
1_2_2013-06-07,46933.86
1_2_2013-06-14,54173.194
1_2_2013-06-21,47683.265
1_2_2013-06-28,45542.358
1_2_2013-07-05,49489.523
1_2_2013-07-12,41867.316
1_2_2013-07-19,50740.421
1_2_2013-07-26,40960.174
1_3_2012-11-02,9980.686
1_3_2012-11-09,10766.136
1_3_2012-11-16,9634.576
1_3_2012-11-23,11588.295
1_3_2012-11-30,8380.552
1_3_2012-12-07,14768.63
1_3_2012-12-14,8941.872
1_3_2012-12-21,10049.531
1_3_2012-12-28,7852.188
1_3_2013-01-04,11587.622
1_3_2013-01-11,12126.251
1_3_2013-01-18,11805.897
1_3_2013-01-25,9627.026
1_3_2013-02-01,10192.68
1_3_2013-02-08,11368.666
1_3_2013-02-15,12680.011
1_3_2013-02-22,11753.105
1_3_2013-03-01,10597.268
