Id,Weekly_Sales
1_1_2012-11-02,30688.03
1_1_2012-11-09,30201.274
1_1_2012-11-16,19083.885
1_1_2012-11-23,19586.913
1_1_2012-11-30,18149.343
1_1_2012-12-07,35458.432
1_1_2012-12-14,42938.768
1_1_2012-12-21,47831.403
1_1_2012-12-28,15717.925
1_1_2013-01-04,17206.027
1_1_2013-01-11,17573.315
1_1_2013-01-18,18021.483
1_1_2013-01-25,18242.347
1_1_2013-02-01,19780.97
1_1_2013-02-08,38045.189
1_1_2013-02-15,48771.368
1_1_2013-02-22,21362.509
1_1_2013-03-01,19934.157
1_1_2013-03-08,21320.367
1_1_2013-03-15,21456.094
1_1_2013-03-22,23355.828
1_1_2013-03-29,32870.008
1_1_2013-04-05,30614.967
1_1_2013-04-12,17060.248
1_1_2013-04-19,16320.642
1_1_2013-04-26,14223.15
1_1_2013-05-03,10239.35
1_1_2013-05-10,20215.238
1_1_2013-05-17,20514.527
1_1_2013-05-24,16079.962
1_1_2013-05-31,9709.657
1_1_2013-06-07,17143.518
1_1_2013-06-14,18280.427
1_1_2013-06-21,16310.112
1_1_2013-06-28,16947.586
1_1_2013-07-05,12091.665
1_1_2013-07-12,16737.019
1_1_2013-07-19,16930.981
1_1_2013-07-26,10202.546
1_2_2012-11-02,43595.758
1_2_2012-11-09,47575.397
1_2_2012-11-16,44980.559
1_2_2012-11-23,44555.861
1_2_2012-11-30,44240.558
1_2_2012-12-07,47685.061
1_2_2012-12-14,49107.334
1_2_2012-12-21,61189.106
1_2_2012-12-28,44577.281
1_2_2013-01-04,43777.851
1_2_2013-01-11,43408.54
1_2_2013-01-18,42672.785
1_2_2013-01-25,42028.18
1_2_2013-02-01,48300.269
1_2_2013-02-08,52899.592
1_2_2013-02-15,51099.715
1_2_2013-02-22,51420.157
1_2_2013-03-01,49425.56
1_2_2013-03-08,47005.131
1_2_2013-03-15,46229.391
1_2_2013-03-22,50634.962
1_2_2013-03-29,48542.702
1_2_2013-04-05,48454.332
1_2_2013-04-12,45995.896
1_2_2013-04-19,46837.028
1_2_2013-04-26,45404.159
1_2_2013-05-03,46901.989
1_2_2013-05-10,47710.385
1_2_2013-05-17,48934.042
1_2_2013-05-24,47037.696
1_2_2013-05-31,46727.918
1_2_2013-06-07,45519.214
1_2_2013-06-14,49773.263
1_2_2013-06-21,46172.774
1_2_2013-06-28,44778.072
1_2_2013-07-05,45433.154
1_2_2013-07-12,45091.179
1_2_2013-07-19,44873.135
1_2_2013-07-26,44985.269
1_3_2012-11-02,9721.951
1_3_2012-11-09,10110.439
1_3_2012-11-16,10500.554
1_3_2012-11-23,8397.204
1_3_2012-11-30,10120.956
1_3_2012-12-07,12373.533
1_3_2012-12-14,9686.619
1_3_2012-12-21,9424.103
1_3_2012-12-28,8808.485
1_3_2013-01-04,14653.732
1_3_2013-01-11,13492.888
1_3_2013-01-18,14069.722
1_3_2013-01-25,12622.937
1_3_2013-02-01,13003.208
1_3_2013-02-08,11448.259
1_3_2013-02-15,11929.852
1_3_2013-02-22,11174.047
1_3_2013-03-01,11460.956
1_3_2013-03-08,10876.478
1_3_2013-03-15,8560.382
1_3_2013-03-22,9012.992
1_3_2013-03-29,9532.504
1_3_2013-04-05,10107.27
1_3_2013-04-12,8598.297
1_3_2013-04-19,8831.345
1_3_2013-04-26,9009.327
1_3_2013-05-03,9708.016
1_3_2013-05-10,8880.203
1_3_2013-05-17,8484.825
1_3_2013-05-24,7649.357
1_3_2013-05-31,7459.339
1_3_2013-06-07,8141.886
1_3_2013-06-14,7752.466
1_3_2013-06-21,7211.031
1_3_2013-06-28,7895.802
1_3_2013-07-05,7693.342
1_3_2013-07-12,14747.023
1_3_2013-07-19,22618.066
1_3_2013-07-26,16321.103
1_4_2012-11-02,38820.687
1_4_2012-11-09,40568.809
1_4_2012-11-16,38284.747
1_4_2012-11-23,42216.577
1_4_2012-11-30,39894.612
1_4_2012-12-07,38346.88
1_4_2012-12-14,34562.034
1_4_2012-12-21,43641.371
1_4_2012-12-28,38603.844
1_4_2013-01-04,40003.62
1_4_2013-01-11,36021.212
1_4_2013-01-18,35495.695
1_4_2013-01-25,35992.658
1_4_2013-02-01,40317.241
1_4_2013-02-08,41939.661
1_4_2013-02-15,40256.962
1_4_2013-02-22,40038.441
1_4_2013-03-01,38485.046
1_4_2013-03-08,37048.776
1_4_2013-03-15,36955.949
1_4_2013-03-22,41463.673
1_4_2013-03-29,39798.195
1_4_2013-04-05,38891.31
1_4_2013-04-12,35921.376
1_4_2013-04-19,36362.48
1_4_2013-04-26,36295.1
1_4_2013-05-03,37539.585
1_4_2013-05-10,35718.035
1_4_2013-05-17,40973.143
1_4_2013-05-24,37965.046
1_4_2013-05-31,39916.766
1_4_2013-06-07,37901.43
1_4_2013-06-14,40963.563
1_4_2013-06-21,39188.818
1_4_2013-06-28,39038.335
1_4_2013-07-05,39860.749
1_4_2013-07-12,37692.963
1_4_2013-07-19,36673.545
1_4_2013-07-26,37156.074
1_5_2012-11-02,27342.437
1_5_2012-11-09,35879.494
1_5_2012-11-16,28275.58
1_5_2012-11-23,49739.723
1_5_2012-11-30,28994.814
1_5_2012-12-07,52257.107
1_5_2012-12-14,27190.9
1_5_2012-12-21,124399.497
1_5_2012-12-28,32139.423
1_5_2013-01-04,20035.355
1_5_2013-01-11,18114.463
1_5_2013-01-18,18704.655
1_5_2013-01-25,21159.497
1_5_2013-02-01,25081.597
1_5_2013-02-08,34193.166
1_5_2013-02-15,45037.19
1_5_2013-02-22,32457.438
1_5_2013-03-01,24847.214
1_5_2013-03-08,25315.57
1_5_2013-03-15,22430.056
1_5_2013-03-22,26855.265
1_5_2013-03-29,27954.73
1_5_2013-04-05,25499.59
1_5_2013-04-12,17487.735
1_5_2013-04-19,15475.408
1_5_2013-04-26,16840.261
1_5_2013-05-03,17088.718
1_5_2013-05-10,21883.637
1_5_2013-05-17,18213.507
1_5_2013-05-24,17637.631
1_5_2013-05-31,15694.679
1_5_2013-06-07,18745.748
1_5_2013-06-14,18008.147
1_5_2013-06-21,19100.662
1_5_2013-06-28,17832.001
1_5_2013-07-05,17914.216
1_5_2013-07-12,19077.122
1_5_2013-07-19,18597.547
1_5_2013-07-26,18156.072
1_6_2012-11-02,4479.277
1_6_2012-11-09,3413.904
1_6_2012-11-16,3832.111
1_6_2012-11-23,21508.538
1_6_2012-11-30,4636.045
1_6_2012-12-07,6073.556
1_6_2012-12-14,4952.971
1_6_2012-12-21,19458.893
1_6_2012-12-28,5747.506
1_6_2013-01-04,2786.62
1_6_2013-01-11,4150.107
1_6_2013-01-18,2121.384
1_6_2013-01-25,2435.138
1_6_2013-02-01,3346.424
1_6_2013-02-08,4887.046
1_6_2013-02-15,4079.995
1_6_2013-02-22,3977.11
1_6_2013-03-01,3572.909
1_6_2013-03-08,3398.89
1_6_2013-03-15,3550.356
1_6_2013-03-22,3527.338
1_6_2013-03-29,3881.253
1_6_2013-04-05,3771.336
1_6_2013-04-12,3326.7
1_6_2013-04-19,2661.315
1_6_2013-04-26,2711.328
1_6_2013-05-03,2450.103
1_6_2013-05-10,5579.724
1_6_2013-05-17,3246.975
1_6_2013-05-24,4764.369
1_6_2013-05-31,2740.311
1_6_2013-06-07,4120.067
1_6_2013-06-14,3113.148
1_6_2013-06-21,3444.755
1_6_2013-06-28,3320.314
1_6_2013-07-05,2958.947
1_6_2013-07-12,4040.348
1_6_2013-07-19,3827.048
1_6_2013-07-26,2601.341
1_7_2012-11-02,24493.576
1_7_2012-11-09,23606.129
1_7_2012-11-16,23691.546
1_7_2012-11-23,96461.717
1_7_2012-11-30,35321.396
1_7_2012-12-07,67157.051
1_7_2012-12-14,37397.33
1_7_2012-12-21,168800.816
1_7_2012-12-28,25716.482
1_7_2013-01-04,14916.532
1_7_2013-01-11,11296.293
1_7_2013-01-18,11702.254
1_7_2013-01-25,13485.528
1_7_2013-02-01,19871.566
1_7_2013-02-08,20120.863
1_7_2013-02-15,19224.952
1_7_2013-02-22,19096.796
1_7_2013-03-01,18245.643
1_7_2013-03-08,21661.659
1_7_2013-03-15,20209.862
1_7_2013-03-22,22383.293
1_7_2013-03-29,22253.963
