Id,Weekly_Sales
1_1_2012-11-02,37095.736
1_1_2012-11-09,39986.933
1_1_2012-11-16,31019.828
1_1_2012-11-23,34762.031
1_1_2012-11-30,34262.826
1_1_2012-12-07,34344.997
1_1_2012-12-14,45690.414
1_1_2012-12-21,47668.062
1_1_2012-12-28,25518.057
1_1_2013-01-04,20898.052
1_1_2013-01-11,16820.668
1_1_2013-01-18,17632.013
1_1_2013-01-25,17996.029
1_1_2013-02-01,23994.616
1_1_2013-02-08,32461.053
1_1_2013-02-15,41972.015
1_1_2013-02-22,20442.192
1_1_2013-03-01,22252.215
1_1_2013-03-08,20805.133
1_1_2013-03-15,20915.185
1_1_2013-03-22,20980.007
1_1_2013-03-29,21077.271
1_1_2013-04-05,21015.488
1_1_2013-04-12,21470.678
1_1_2013-04-19,18162.23
1_1_2013-04-26,20298.964
1_1_2013-05-03,18282.072
1_1_2013-05-10,18522.984
1_1_2013-05-17,16783.638
1_1_2013-05-24,15955.91
1_1_2013-05-31,16423.052
1_1_2013-06-07,16549.024
1_1_2013-06-14,15944.499
1_1_2013-06-21,15999.546
1_1_2013-06-28,16416.996
1_1_2013-07-05,15852.476
1_1_2013-07-12,16424.793
1_1_2013-07-19,16331.711
1_1_2013-07-26,16319.056
1_2_2012-11-02,46388.726
1_2_2012-11-09,48493.386
1_2_2012-11-16,44403.295
1_2_2012-11-23,44525.624
1_2_2012-11-30,45023.703
1_2_2012-12-07,45939.333
1_2_2012-12-14,47804.51
1_2_2012-12-21,59972.194
1_2_2012-12-28,44536.038
1_2_2013-01-04,42246.469
1_2_2013-01-11,41835.066
1_2_2013-01-18,41911.032
1_2_2013-01-25,41731.346
1_2_2013-02-01,49647.759
1_2_2013-02-08,52999.858
1_2_2013-02-15,50681.805
1_2_2013-02-22,50733.856
1_2_2013-03-01,48254.919
1_2_2013-03-08,45831.6
1_2_2013-03-15,45314.314
1_2_2013-03-22,48674.208
1_2_2013-03-29,44665.943
1_2_2013-04-05,45018.529
1_2_2013-04-12,44060.56
1_2_2013-04-19,44566.062
1_2_2013-04-26,44060.56
1_2_2013-05-03,45645.671
1_2_2013-05-10,45159.157
1_2_2013-05-17,48296.139
1_2_2013-05-24,44168.352
1_2_2013-05-31,46109.083
1_2_2013-06-07,45059.47
1_2_2013-06-14,48461.642
1_2_2013-06-21,47206.538
1_2_2013-06-28,46092.548
1_2_2013-07-05,47204.306
1_2_2013-07-12,44612.761
1_2_2013-07-19,44450.207
1_2_2013-07-26,45099.648
1_3_2012-11-02,9230.004
1_3_2012-11-09,9723.846
1_3_2012-11-16,10495.062
1_3_2012-11-23,11364.236
1_3_2012-11-30,10090.074
1_3_2012-12-07,11183.422
1_3_2012-12-14,11569.647
1_3_2012-12-21,12124.737
1_3_2012-12-28,9194.133
1_3_2013-01-04,14838.148
1_3_2013-01-11,13664.918
1_3_2013-01-18,13251.454
1_3_2013-01-25,12353.597
1_3_2013-02-01,12669.314
1_3_2013-02-08,13068.897
1_3_2013-02-15,12240.578
1_3_2013-02-22,12364.282
1_3_2013-03-01,12468.627
1_3_2013-03-08,12164.088
1_3_2013-03-15,9131.564
1_3_2013-03-22,9884.329
1_3_2013-03-29,9830.606
1_3_2013-04-05,9897.19
1_3_2013-04-12,8921.698
1_3_2013-04-19,9184.354
1_3_2013-04-26,9101.298
1_3_2013-05-03,9540.563
1_3_2013-05-10,8834.069
1_3_2013-05-17,8410.768
1_3_2013-05-24,8209.324
1_3_2013-05-31,7788.235
1_3_2013-06-07,8296.111
1_3_2013-06-14,8025.057
1_3_2013-06-21,7229.341
1_3_2013-06-28,7676.36
1_3_2013-07-05,7948.582
1_3_2013-07-12,12756.994
1_3_2013-07-19,17313.251
1_3_2013-07-26,20435.69
1_4_2012-11-02,37464.143
1_4_2012-11-09,37852.817
1_4_2012-11-16,38074.25
1_4_2012-11-23,43329.79
1_4_2012-11-30,37913.13
1_4_2012-12-07,36828.743
1_4_2012-12-14,37531.551
1_4_2012-12-21,47871.77
1_4_2012-12-28,38943.98
1_4_2013-01-04,38117.347
1_4_2013-01-11,36507.872
1_4_2013-01-18,35697.503
1_4_2013-01-25,35424.763
1_4_2013-02-01,38616.071
1_4_2013-02-08,39814.174
1_4_2013-02-15,39089.587
1_4_2013-02-22,38320.533
1_4_2013-03-01,38156.694
1_4_2013-03-08,37873.911
1_4_2013-03-15,37772.733
1_4_2013-03-22,39575.825
1_4_2013-03-29,38368.462
1_4_2013-04-05,38157.637
1_4_2013-04-12,37492.848
1_4_2013-04-19,37936.719
1_4_2013-04-26,37398.161
1_4_2013-05-03,38275.098
1_4_2013-05-10,38141.928
1_4_2013-05-17,37745.764
1_4_2013-05-24,38000.961
1_4_2013-05-31,39213.0
1_4_2013-06-07,37144.408
1_4_2013-06-14,39756.812
1_4_2013-06-21,38216.165
1_4_2013-06-28,36843.202
1_4_2013-07-05,38850.328
1_4_2013-07-12,37398.486
1_4_2013-07-19,36489.468
1_4_2013-07-26,36526.289
1_5_2012-11-02,22199.951
1_5_2012-11-09,23739.606
1_5_2012-11-16,24832.07
1_5_2012-11-23,66532.242
1_5_2012-11-30,50403.711
1_5_2012-12-07,46041.604
1_5_2012-12-14,44060.606
1_5_2012-12-21,58321.496
1_5_2012-12-28,34382.317
1_5_2013-01-04,22272.561
1_5_2013-01-11,18229.66
1_5_2013-01-18,18950.918
1_5_2013-01-25,21465.532
1_5_2013-02-01,30565.839
1_5_2013-02-08,33642.573
1_5_2013-02-15,34188.65
1_5_2013-02-22,27397.846
1_5_2013-03-01,25991.222
1_5_2013-03-08,24658.693
1_5_2013-03-15,24530.429
1_5_2013-03-22,23987.579
1_5_2013-03-29,23328.4
1_5_2013-04-05,24695.885
1_5_2013-04-12,16916.024
1_5_2013-04-19,17476.307
1_5_2013-04-26,17322.799
1_5_2013-05-03,16295.129
1_5_2013-05-10,21743.929
1_5_2013-05-17,18344.981
1_5_2013-05-24,15911.353
1_5_2013-05-31,15911.353
1_5_2013-06-07,16316.114
1_5_2013-06-14,18490.936
1_5_2013-06-21,16809.282
1_5_2013-06-28,16239.441
1_5_2013-07-05,16239.441
1_5_2013-07-12,15911.773
1_5_2013-07-19,16114.248
1_5_2013-07-26,16621.274
1_6_2012-11-02,6232.808
1_6_2012-11-09,6069.817
1_6_2012-11-16,6067.82
1_6_2012-11-23,15692.922
1_6_2012-11-30,9604.96
1_6_2012-12-07,7227.437
1_6_2012-12-14,11457.664
1_6_2012-12-21,23152.273
1_6_2012-12-28,6343.306
1_6_2013-01-04,6541.637
1_6_2013-01-11,5841.067
1_6_2013-01-18,5821.864
1_6_2013-01-25,5973.162
1_6_2013-02-01,5998.593
1_6_2013-02-08,7682.99
1_6_2013-02-15,6328.662
1_6_2013-02-22,6071.407
1_6_2013-03-01,5580.701
1_6_2013-03-08,5611.886
1_6_2013-03-15,6042.788
1_6_2013-03-22,6311.336
1_6_2013-03-29,6412.654
1_6_2013-04-05,6108.701
1_6_2013-04-12,6108.701
1_6_2013-04-19,6263.516
1_6_2013-04-26,6568.406
1_6_2013-05-03,6568.406
1_6_2013-05-10,6364.803
1_6_2013-05-17,6364.803
1_6_2013-05-24,6093.806
1_6_2013-05-31,6283.145
1_6_2013-06-07,6283.145
1_6_2013-06-14,6231.38
1_6_2013-06-21,6093.806
1_6_2013-06-28,6093.806
1_6_2013-07-05,6214.362
1_6_2013-07-12,6266.127
1_6_2013-07-19,6093.806
1_6_2013-07-26,7258.572
1_7_2012-11-02,19796.923
1_7_2012-11-09,21044.123
1_7_2012-11-16,21712.327
1_7_2012-11-23,55845.895
1_7_2012-11-30,44773.167
1_7_2012-12-07,48030.985
1_7_2012-12-14,72805.547
1_7_2012-12-21,116003.265
1_7_2012-12-28,33544.097
1_7_2013-01-04,17970.397
1_7_2013-01-11,16567.756
1_7_2013-01-18,13232.661
1_7_2013-01-25,13323.604
1_7_2013-02-01,19964.219
1_7_2013-02-08,20225.267
1_7_2013-02-15,18427.9
1_7_2013-02-22,18008.432
1_7_2013-03-01,18045.098
1_7_2013-03-08,19891.218
1_7_2013-03-15,18368.173
1_7_2013-03-22,20048.383
1_7_2013-03-29,19204.939
1_7_2013-04-05,20626.126
1_7_2013-04-12,20513.547
1_7_2013-04-19,20166.976
1_7_2013-04-26,20707.488
1_7_2013-05-03,20596.239
1_7_2013-05-10,18964.945
1_7_2013-05-17,23735.273
1_7_2013-05-24,29535.474
1_7_2013-05-31,37224.113
1_7_2013-06-07,36268.823
