Id,Weekly_Sales
1_1_2012-11-02,38640.93
1_1_2012-11-09,34238.88
1_1_2012-11-16,19549.39
1_1_2012-11-23,19549.39
1_1_2012-11-30,22517.56
1_1_2012-12-07,33305.92
1_1_2012-12-14,44912.86
1_1_2012-12-21,46788.75
1_1_2012-12-28,19549.39
1_1_2013-01-04,15984.24
1_1_2013-01-11,17359.7
1_1_2013-01-18,17341.47
1_1_2013-01-25,17341.47
1_1_2013-02-01,21665.76
1_1_2013-02-08,46039.49
1_1_2013-02-15,41595.55
1_1_2013-02-22,19363.83
1_1_2013-03-01,20327.61
1_1_2013-03-08,21280.4
1_1_2013-03-15,20334.23
1_1_2013-03-22,20881.1
1_1_2013-03-29,20398.09
1_1_2013-04-05,23873.79
1_1_2013-04-12,17596.96
1_1_2013-04-19,16145.35
1_1_2013-04-26,16555.11
1_1_2013-05-03,17413.94
1_1_2013-05-10,18926.74
1_1_2013-05-17,14773.04
1_1_2013-05-24,15741.6
1_1_2013-05-31,16434.15
1_1_2013-06-07,15883.52
1_1_2013-06-14,14978.09
1_1_2013-06-21,16148.87
1_1_2013-06-28,16148.87
1_1_2013-07-05,16148.87
1_1_2013-07-12,16148.87
1_1_2013-07-19,15766.6
1_1_2013-07-26,15922.41
1_2_2012-11-02,41682.4
1_2_2012-11-09,46381.43
1_2_2012-11-16,44936.47
1_2_2012-11-23,45681.98
1_2_2012-11-30,45681.98
1_2_2012-12-07,46955.82
1_2_2012-12-14,46955.82
1_2_2012-12-21,59889.32
1_2_2012-12-28,43539.94
1_2_2013-01-04,44481.38
1_2_2013-01-11,43353.09
1_2_2013-01-18,43753.43
1_2_2013-01-25,41556.23
1_2_2013-02-01,50605.27
1_2_2013-02-08,50605.27
1_2_2013-02-15,50605.27
1_2_2013-02-22,50605.27
1_2_2013-03-01,50605.27
1_2_2013-03-08,43751.94
1_2_2013-03-15,43615.49
1_2_2013-03-22,41892.55
1_2_2013-03-29,41892.55
1_2_2013-04-05,41892.55
1_2_2013-04-12,41892.55
1_2_2013-04-19,41892.55
1_2_2013-04-26,41892.55
1_2_2013-05-03,41892.55
1_2_2013-05-10,41892.55
1_2_2013-05-17,41892.55
1_2_2013-05-24,41892.55
1_2_2013-05-31,41892.55
1_2_2013-06-07,41892.55
1_2_2013-06-14,41892.55
1_2_2013-06-21,41892.55
1_2_2013-06-28,41892.55
1_2_2013-07-05,41892.55
1_2_2013-07-12,41892.55
1_2_2013-07-19,41892.55
1_2_2013-07-26,41892.55
1_3_2012-11-02,8097.92
1_3_2012-11-09,8097.92
1_3_2012-11-16,8097.92
1_3_2012-11-23,8097.92
1_3_2012-11-30,8097.92
1_3_2012-12-07,11219.78
1_3_2012-12-14,11986.84
1_3_2012-12-21,13667.88
1_3_2012-12-28,8848.44
1_3_2013-01-04,13275.87
1_3_2013-01-11,13275.87
1_3_2013-01-18,12532.94
1_3_2013-01-25,11983.34
1_3_2013-02-01,11983.34
1_3_2013-02-08,12388.85
1_3_2013-02-15,10237.78
1_3_2013-02-22,10502.4
1_3_2013-03-01,11925.71
1_3_2013-03-08,11925.71
1_3_2013-03-15,9001.37
1_3_2013-03-22,10366.85
1_3_2013-03-29,10366.85
1_3_2013-04-05,10179.29
1_3_2013-04-12,10179.29
1_3_2013-04-19,10179.29
1_3_2013-04-26,10179.29
1_3_2013-05-03,10179.29
1_3_2013-05-10,10179.29
1_3_2013-05-17,7813.91
1_3_2013-05-24,7813.91
1_3_2013-05-31,8614.64
1_3_2013-06-07,8614.64
1_3_2013-06-14,8614.64
1_3_2013-06-21,6591.22
1_3_2013-06-28,7857.88
1_3_2013-07-05,7857.88
1_3_2013-07-12,13751.3
1_3_2013-07-19,16930.62
1_3_2013-07-26,21331.51
1_4_2012-11-02,37078.61
1_4_2012-11-09,37078.61
1_4_2012-11-16,35008.03
1_4_2012-11-23,46201.27
1_4_2012-11-30,37110.55
1_4_2012-12-07,36364.31
1_4_2012-12-14,36364.31
1_4_2012-12-21,47893.23
1_4_2012-12-28,36380.36
1_4_2013-01-04,36380.36
1_4_2013-01-11,39954.04
1_4_2013-01-18,39954.04
1_4_2013-01-25,39954.04
1_4_2013-02-01,39954.04
1_4_2013-02-08,39954.04
