Id,Weekly_Sales
1_1_2012-11-02,38640.93
1_1_2012-11-09,34238.88
1_1_2012-11-16,19552.84
1_1_2012-11-23,19552.84
1_1_2012-11-30,19552.84
1_1_2012-12-07,33305.92
1_1_2012-12-14,45773.03
1_1_2012-12-21,46788.75
1_1_2012-12-28,19552.84
1_1_2013-01-04,16119.92
1_1_2013-01-11,16894.4
1_1_2013-01-18,17341.47
1_1_2013-01-25,17341.47
1_1_2013-02-01,23510.49
1_1_2013-02-08,46039.49
1_1_2013-02-15,46845.87
1_1_2013-02-22,19403.54
1_1_2013-03-01,21827.9
1_1_2013-03-08,21043.39
1_1_2013-03-15,22136.64
1_1_2013-03-22,26229.21
1_1_2013-03-29,17596.96
1_1_2013-04-05,17596.96
1_1_2013-04-12,17596.96
1_1_2013-04-19,17596.96
1_1_2013-04-26,17596.96
1_1_2013-05-03,16894.4
1_1_2013-05-10,18164.2
1_1_2013-05-17,18517.79
1_1_2013-05-24,15741.6
1_1_2013-05-31,16065.49
1_1_2013-06-07,17666.0
1_1_2013-06-14,17666.0
1_1_2013-06-21,17666.0
1_1_2013-06-28,16633.41
1_1_2013-07-05,15883.52
1_1_2013-07-12,16566.18
1_1_2013-07-19,16566.18
1_1_2013-07-26,15731.18
1_2_2012-11-02,41682.4
1_2_2012-11-09,47313.62
1_2_2012-11-16,44936.47
1_2_2012-11-23,45681.98
1_2_2012-11-30,45681.98
1_2_2012-12-07,49357.43
1_2_2012-12-14,49357.43
1_2_2012-12-21,65615.36
1_2_2012-12-28,43202.29
1_2_2013-01-04,43202.29
1_2_2013-01-11,39857.4
1_2_2013-01-18,41596.99
1_2_2013-01-25,41651.01
1_2_2013-02-01,46165.25
1_2_2013-02-08,47595.35
1_2_2013-02-15,49202.06
1_2_2013-02-22,46165.25
1_2_2013-03-01,48397.98
1_2_2013-03-08,43751.94
1_2_2013-03-15,43751.94
1_2_2013-03-22,41892.55
1_2_2013-03-29,41892.55
1_2_2013-04-05,41892.55
1_2_2013-04-12,41892.55
1_2_2013-04-19,41892.55
1_2_2013-04-26,41892.55
1_2_2013-05-03,41892.55
1_2_2013-05-10,41892.55
1_2_2013-05-17,41892.55
1_2_2013-05-24,41892.55
1_2_2013-05-31,41892.55
1_2_2013-06-07,41892.55
1_2_2013-06-14,41892.55
1_2_2013-06-21,41892.55
1_2_2013-06-28,41892.55
1_2_2013-07-05,41892.55
1_2_2013-07-12,41892.55
1_2_2013-07-19,41892.55
1_2_2013-07-26,41892.55
1_3_2012-11-02,9146.77
1_3_2012-11-09,9146.77
1_3_2012-11-16,9146.77
1_3_2012-11-23,9146.77
1_3_2012-11-30,9146.77
1_3_2012-12-07,11219.78
1_3_2012-12-14,11986.84
1_3_2012-12-21,13740.12
1_3_2012-12-28,8848.44
1_3_2013-01-04,13926.04
1_3_2013-01-11,13822.49
1_3_2013-01-18,11702.08
1_3_2013-01-25,10613.17
1_3_2013-02-01,13740.12
1_3_2013-02-08,10887.84
1_3_2013-02-15,11523.47
1_3_2013-02-22,11135.17
1_3_2013-03-01,10502.4
1_3_2013-03-08,10123.45
1_3_2013-03-15,9001.37
1_3_2013-03-22,10366.85
1_3_2013-03-29,10366.85
1_3_2013-04-05,10179.29
1_3_2013-04-12,10179.29
1_3_2013-04-19,10179.29
1_3_2013-04-26,10179.29
1_3_2013-05-03,10179.29
1_3_2013-05-10,10179.29
1_3_2013-05-17,8609.82
1_3_2013-05-24,8412.69
1_3_2013-05-31,8412.69
1_3_2013-06-07,8614.64
1_3_2013-06-14,7658.75
1_3_2013-06-21,7301.41
1_3_2013-06-28,7857.88
1_3_2013-07-05,7857.88
1_3_2013-07-12,13126.15
1_3_2013-07-19,20126.95
1_3_2013-07-26,22716.7
1_4_2012-11-02,37980.55
1_4_2012-11-09,37980.55
1_4_2012-11-16,35008.03
1_4_2012-11-23,46201.27
1_4_2012-11-30,37110.55
1_4_2012-12-07,36364.31
1_4_2012-12-14,39154.41
1_4_2012-12-21,47785.93
1_4_2012-12-28,40548.19
1_4_2013-01-04,36380.36
1_4_2013-01-11,39954.04
1_4_2013-01-18,39954.04
1_4_2013-01-25,39954.04
1_4_2013-02-01,39954.04
1_4_2013-02-08,39954.04
