Id,Weekly_Sales
1_1_2012-11-02,22136.64
1_1_2012-11-09,34238.88
1_1_2012-11-16,22136.64
1_1_2012-11-23,21043.39
1_1_2012-11-30,22136.64
1_1_2012-12-07,42960.91
1_1_2012-12-14,44912.86
1_1_2012-12-21,55931.23
1_1_2012-12-28,26229.21
1_1_2013-01-04,26229.21
1_1_2013-01-11,17359.7
1_1_2013-01-18,17341.47
1_1_2013-01-25,17341.47
1_1_2013-02-01,21665.76
1_1_2013-02-08,46039.49
1_1_2013-02-15,41595.55
1_1_2013-02-22,19363.83
1_1_2013-03-01,19363.83
1_1_2013-03-08,21280.4
1_1_2013-03-15,20398.09
1_1_2013-03-22,20334.23
1_1_2013-03-29,20398.09
1_1_2013-04-05,23873.79
1_1_2013-04-12,17596.96
1_1_2013-04-19,16145.35
1_1_2013-04-26,16555.11
1_1_2013-05-03,20138.19
1_1_2013-05-10,20138.19
1_1_2013-05-17,18517.79
1_1_2013-05-24,16963.55
1_1_2013-05-31,16637.62
1_1_2013-06-07,16963.55
1_1_2013-06-14,16637.62
1_1_2013-06-21,16333.14
1_1_2013-06-28,15360.45
1_1_2013-07-05,17688.76
1_1_2013-07-12,15360.45
1_1_2013-07-19,16348.06
1_1_2013-07-26,16348.06
1_2_2012-11-02,41443.25
1_2_2012-11-09,46381.43
1_2_2012-11-16,44936.47
1_2_2012-11-23,44405.02
1_2_2012-11-30,44405.02
1_2_2012-12-07,46955.82
1_2_2012-12-14,46955.82
1_2_2012-12-21,59889.32
1_2_2012-12-28,35819.83
1_2_2013-01-04,35819.83
1_2_2013-01-11,35819.83
1_2_2013-01-18,35819.83
1_2_2013-01-25,35819.83
1_2_2013-02-01,54322.24
1_2_2013-02-08,50581.06
1_2_2013-02-15,49202.06
1_2_2013-02-22,47080.12
1_2_2013-03-01,53035.54
1_2_2013-03-08,43751.94
1_2_2013-03-15,43751.94
1_2_2013-03-22,41892.55
1_2_2013-03-29,41892.55
1_2_2013-04-05,41892.55
1_2_2013-04-12,41892.55
1_2_2013-04-19,41892.55
1_2_2013-04-26,41892.55
1_2_2013-05-03,41892.55
1_2_2013-05-10,41892.55
1_2_2013-05-17,41892.55
1_2_2013-05-24,41892.55
1_2_2013-05-31,41892.55
1_2_2013-06-07,41892.55
1_2_2013-06-14,41892.55
1_2_2013-06-21,41892.55
1_2_2013-06-28,41892.55
1_2_2013-07-05,41892.55
1_2_2013-07-12,41892.55
1_2_2013-07-19,41892.55
1_2_2013-07-26,41892.55
1_3_2012-11-02,9825.22
1_3_2012-11-09,20915.95
1_3_2012-11-16,9825.22
1_3_2012-11-23,9825.22
1_3_2012-11-30,10856.85
1_3_2012-12-07,20915.95
1_3_2012-12-14,11986.84
1_3_2012-12-21,12080.36
1_3_2012-12-28,8848.44
1_3_2013-01-04,15808.15
1_3_2013-01-11,15808.15
1_3_2013-01-18,13740.12
1_3_2013-01-25,13740.12
1_3_2013-02-01,13740.12
1_3_2013-02-08,13740.12
1_3_2013-02-15,13740.12
1_3_2013-02-22,13740.12
1_3_2013-03-01,13740.12
1_3_2013-03-08,13740.12
1_3_2013-03-15,9001.37
1_3_2013-03-22,11157.08
1_3_2013-03-29,10366.85
1_3_2013-04-05,10366.85
1_3_2013-04-12,10179.29
1_3_2013-04-19,10179.29
1_3_2013-04-26,10179.29
1_3_2013-05-03,10179.29
1_3_2013-05-10,10179.29
1_3_2013-05-17,7939.01
1_3_2013-05-24,8120.7
1_3_2013-05-31,7175.77
1_3_2013-06-07,7175.77
1_3_2013-06-14,7742.75
1_3_2013-06-21,8853.89
1_3_2013-06-28,6165.73
1_3_2013-07-05,7857.88
1_3_2013-07-12,13751.3
1_3_2013-07-19,13751.3
1_3_2013-07-26,20915.95
1_4_2012-11-02,37980.55
1_4_2012-11-09,35008.03
1_4_2012-11-16,37078.61
1_4_2012-11-23,46564.14
1_4_2012-11-30,37078.61
1_4_2012-12-07,35008.03
1_4_2012-12-14,39154.41
1_4_2012-12-21,47893.23
1_4_2012-12-28,36913.8
1_4_2013-01-04,37947.8
1_4_2013-01-11,39954.04
1_4_2013-01-18,39954.04
1_4_2013-01-25,39954.04
1_4_2013-02-01,39954.04
1_4_2013-02-08,39954.04
1_4_2013-02-15,39954.04
1_4_2013-02-22,39954.04
1_4_2013-03-01,39954.04
1_4_2013-03-08,39954.04
1_4_2013-03-15,39954.04
1_4_2013-03-22,39954.04
1_4_2013-03-29,39954.04
1_4_2013-04-05,39954.04
1_4_2013-04-12,39954.04
1_4_2013-04-19,39954.04
1_4_2013-04-26,39954.04
1_4_2013-05-03,39954.04
1_4_2013-05-10,39954.04
1_4_2013-05-17,39954.04
1_4_2013-05-24,39954.04
1_4_2013-05-31,39954.04
1_4_2013-06-07,39954.04
1_4_2013-06-14,39954.04
1_4_2013-06-21,39773.71
1_4_2013-06-28,35234.66
1_4_2013-07-05,39954.04
1_4_2013-07-12,35234.66
1_4_2013-07-19,39954.04
1_4_2013-07-26,36419.68
1_5_2012-11-02,22632.57
1_5_2012-11-09,21498.92
1_5_2012-11-16,22632.57
1_5_2012-11-23,79340.15
1_5_2012-11-30,36472.02
1_5_2012-12-07,49517.17
1_5_2012-12-14,59589.48
1_5_2012-12-21,85676.09
1_5_2012-12-28,32280.82
1_5_2013-01-04,22699.69
1_5_2013-01-11,18438.07
1_5_2013-01-18,18438.07
1_5_2013-01-25,22118.7
1_5_2013-02-01,32229.38
1_5_2013-02-08,32229.38
1_5_2013-02-15,32229.38
1_5_2013-02-22,24101.89
1_5_2013-03-01,23082.14
1_5_2013-03-08,23082.14
1_5_2013-03-15,22632.57
1_5_2013-03-22,21498.92
1_5_2013-03-29,22632.57
1_5_2013-04-05,21498.92
1_5_2013-04-12,21498.92
1_5_2013-04-19,11570.27
1_5_2013-04-26,21498.92
1_5_2013-05-03,11570.27
1_5_2013-05-10,11570.27
1_5_2013-05-17,11570.27
1_5_2013-05-24,16891.66
1_5_2013-05-31,16891.66
1_5_2013-06-07,16891.66
1_5_2013-06-14,16891.66
1_5_2013-06-21,16891.66
1_5_2013-06-28,16891.66
1_5_2013-07-05,16891.66
1_5_2013-07-12,16891.66
1_5_2013-07-19,16891.66
1_5_2013-07-26,16472.48
1_6_2012-11-02,3395.75
1_6_2012-11-09,3395.75
1_6_2012-11-16,3395.75
1_6_2012-11-23,20163.69
1_6_2012-11-30,6356.96
1_6_2012-12-07,6440.06
1_6_2012-12-14,12078.11
1_6_2012-12-21,28497.52
1_6_2012-12-28,7477.7
1_6_2013-01-04,7477.7
1_6_2013-01-11,7477.7
1_6_2013-01-18,5749.03
1_6_2013-01-25,5749.03
1_6_2013-02-01,5749.03
1_6_2013-02-08,9135.0
1_6_2013-02-15,6060.26
1_6_2013-02-22,5749.03
1_6_2013-03-01,5749.03
1_6_2013-03-08,5749.03
1_6_2013-03-15,5749.03
1_6_2013-03-22,7468.33
1_6_2013-03-29,4132.61
1_6_2013-04-05,4132.61
1_6_2013-04-12,3945.19
1_6_2013-04-19,5020.78
1_6_2013-04-26,3945.19
1_6_2013-05-03,7477.7
1_6_2013-05-10,6982.17
1_6_2013-05-17,3395.75
1_6_2013-05-24,3395.75
1_6_2013-05-31,3395.75
1_6_2013-06-07,3395.75
1_6_2013-06-14,3395.75
1_6_2013-06-21,3395.75
1_6_2013-06-28,3395.75
1_6_2013-07-05,3395.75
1_6_2013-07-12,3395.75
1_6_2013-07-19,3395.75
1_6_2013-07-26,3395.75
1_7_2012-11-02,19136.58
1_7_2012-11-09,19136.58
1_7_2012-11-16,19136.58
1_7_2012-11-23,72635.06
1_7_2012-11-30,47406.83
1_7_2012-12-07,63896.89
1_7_2012-12-14,96198.12
1_7_2012-12-21,166697.72
1_7_2012-12-28,38216.01
1_7_2013-01-04,17516.16
1_7_2013-01-11,17516.16
1_7_2013-01-18,17516.16
1_7_2013-01-25,17516.16
1_7_2013-02-01,24549.68
1_7_2013-02-08,24549.68
1_7_2013-02-15,17224.22
1_7_2013-02-22,17224.22
1_7_2013-03-01,17224.22
1_7_2013-03-08,17224.22
1_7_2013-03-15,22711.59
1_7_2013-03-22,22711.59
1_7_2013-03-29,16254.21
1_7_2013-04-05,22427.62
1_7_2013-04-12,22427.62
1_7_2013-04-19,22427.62
1_7_2013-04-26,22427.62
1_7_2013-05-03,22427.62
1_7_2013-05-10,22427.62
1_7_2013-05-17,22427.62
1_7_2013-05-24,26910.46
1_7_2013-05-31,26910.46
1_7_2013-06-07,26910.46
1_7_2013-06-14,26984.25
1_7_2013-06-21,28912.18
1_7_2013-06-28,28912.18
1_7_2013-07-05,28912.18
1_7_2013-07-12,22666.55
1_7_2013-07-19,20824.49
1_7_2013-07-26,17709.46
1_8_2012-11-02,33747.68
1_8_2012-11-09,36182.58
1_8_2012-11-16,35759.26
1_8_2012-11-23,34099.53
1_8_2012-11-30,36222.74
1_8_2012-12-07,34099.53
1_8_2012-12-14,36961.11
1_8_2012-12-21,34099.53
1_8_2012-12-28,32751.73
1_8_2013-01-04,38776.09
1_8_2013-01-11,34033.89
1_8_2013-01-18,34547.4
1_8_2013-01-25,34342.64
1_8_2013-02-01,34342.64
1_8_2013-02-08,34342.64
1_8_2013-02-15,33581.72
1_8_2013-02-22,33581.72
1_8_2013-03-01,35318.2
1_8_2013-03-08,33581.72
1_8_2013-03-15,34342.64
1_8_2013-03-22,34145.96
1_8_2013-03-29,33581.72
1_8_2013-04-05,34342.64
1_8_2013-04-12,32890.54
1_8_2013-04-19,34168.23
1_8_2013-04-26,34342.64
1_8_2013-05-03,37360.03
1_8_2013-05-10,37360.03
1_8_2013-05-17,35631.59
1_8_2013-05-24,35393.78
1_8_2013-05-31,35393.78
1_8_2013-06-07,35393.78
1_8_2013-06-14,35393.78
1_8_2013-06-21,35580.01
1_8_2013-06-28,33387.48
1_8_2013-07-05,35393.78
1_8_2013-07-12,33568.19
1_8_2013-07-19,35393.78
1_8_2013-07-26,33568.19
1_9_2012-11-02,30302.47
1_9_2012-11-09,48794.36
1_9_2012-11-16,37167.49
1_9_2012-11-23,44504.17
1_9_2012-11-30,21979.41
1_9_2012-12-07,31948.63
1_9_2012-12-14,26639.65
1_9_2012-12-21,47275.64
1_9_2012-12-28,15175.52
1_9_2013-01-04,16562.49
1_9_2013-01-11,11355.87
1_9_2013-01-18,13213.73
1_9_2013-01-25,11355.87
1_9_2013-02-01,16930.99
1_9_2013-02-08,16562.49
1_9_2013-02-15,16562.49
1_9_2013-02-22,15175.52
1_9_2013-03-01,15175.52
1_9_2013-03-08,15175.52
