Id,Weekly_Sales
1_1_2012-11-02,38640.93
1_1_2012-11-09,19549.39
1_1_2012-11-16,19549.39
1_1_2012-11-23,19549.39
1_1_2012-11-30,22517.56
1_1_2012-12-07,31497.65
1_1_2012-12-14,44912.86
1_1_2012-12-21,55931.23
1_1_2012-12-28,19124.58
1_1_2013-01-04,15984.24
1_1_2013-01-11,17359.7
1_1_2013-01-18,17341.47
1_1_2013-01-25,17341.47
1_1_2013-02-01,24924.5
1_1_2013-02-08,37887.17
1_1_2013-02-15,41595.55
1_1_2013-02-22,19403.54
1_1_2013-03-01,22136.64
1_1_2013-03-08,22136.64
1_1_2013-03-15,22136.64
1_1_2013-03-22,26229.21
1_1_2013-03-29,20398.09
1_1_2013-04-05,23873.79
1_1_2013-04-12,16555.11
1_1_2013-04-19,16555.11
1_1_2013-04-26,16555.11
1_1_2013-05-03,18926.74
1_1_2013-05-10,18926.74
1_1_2013-05-17,15136.78
1_1_2013-05-24,15136.78
1_1_2013-05-31,15136.78
1_1_2013-06-07,15136.78
1_1_2013-06-14,15136.78
1_1_2013-06-21,15381.82
1_1_2013-06-28,15381.82
1_1_2013-07-05,15381.82
1_1_2013-07-12,15381.82
1_1_2013-07-19,15381.82
1_1_2013-07-26,15381.82
1_2_2012-11-02,46381.43
1_2_2012-11-09,43194.49
1_2_2012-11-16,41443.25
1_2_2012-11-23,41443.25
1_2_2012-11-30,41443.25
1_2_2012-12-07,46955.82
1_2_2012-12-14,49303.28
1_2_2012-12-21,59889.32
1_2_2012-12-28,35819.83
1_2_2013-01-04,43202.29
1_2_2013-01-11,43202.29
1_2_2013-01-18,43202.29
1_2_2013-01-25,43202.29
1_2_2013-02-01,50605.27
1_2_2013-02-08,50605.27
1_2_2013-02-15,50605.27
1_2_2013-02-22,50605.27
1_2_2013-03-01,50605.27
1_2_2013-03-08,43751.94
1_2_2013-03-15,43751.94
1_2_2013-03-22,41892.55
1_2_2013-03-29,41892.55
1_2_2013-04-05,41892.55
1_2_2013-04-12,41892.55
1_2_2013-04-19,41892.55
1_2_2013-04-26,41892.55
1_2_2013-05-03,41892.55
1_2_2013-05-10,41892.55
1_2_2013-05-17,41892.55
1_2_2013-05-24,41892.55
1_2_2013-05-31,41892.55
1_2_2013-06-07,41892.55
1_2_2013-06-14,41892.55
1_2_2013-06-21,41892.55
1_2_2013-06-28,41892.55
1_2_2013-07-05,41892.55
1_2_2013-07-12,41892.55
1_2_2013-07-19,41892.55
1_2_2013-07-26,41892.55
1_3_2012-11-02,8097.92
1_3_2012-11-09,8097.92
1_3_2012-11-16,8097.92
1_3_2012-11-23,8097.92
1_3_2012-11-30,10856.85
1_3_2012-12-07,10856.85
1_3_2012-12-14,11986.84
1_3_2012-12-21,12080.36
1_3_2012-12-28,8266.14
1_3_2013-01-04,15808.15
1_3_2013-01-11,15808.15
1_3_2013-01-18,13740.12
1_3_2013-01-25,13740.12
1_3_2013-02-01,13740.12
1_3_2013-02-08,13740.12
1_3_2013-02-15,13740.12
1_3_2013-02-22,13740.12
1_3_2013-03-01,13740.12
1_3_2013-03-08,13740.12
1_3_2013-03-15,9001.37
1_3_2013-03-22,10366.85
1_3_2013-03-29,11157.08
1_3_2013-04-05,11157.08
1_3_2013-04-12,11157.08
1_3_2013-04-19,11157.08
1_3_2013-04-26,11157.08
1_3_2013-05-03,11157.08
1_3_2013-05-10,11157.08
1_3_2013-05-17,7813.91
1_3_2013-05-24,8412.69
1_3_2013-05-31,8001.41
1_3_2013-06-07,8001.41
1_3_2013-06-14,8001.41
1_3_2013-06-21,6591.22
1_3_2013-06-28,7857.88
1_3_2013-07-05,7857.88
1_3_2013-07-12,13751.3
1_3_2013-07-19,16930.62
1_3_2013-07-26,20915.95
1_4_2012-11-02,37980.55
1_4_2012-11-09,37980.55
1_4_2012-11-16,37980.55
1_4_2012-11-23,46201.27
1_4_2012-11-30,37110.55
1_4_2012-12-07,37110.55
1_4_2012-12-14,37110.55
1_4_2012-12-21,47893.23
1_4_2012-12-28,36913.8
1_4_2013-01-04,39954.04
1_4_2013-01-11,39954.04
1_4_2013-01-18,39954.04
1_4_2013-01-25,39954.04
1_4_2013-02-01,39954.04
1_4_2013-02-08,39954.04
1_4_2013-02-15,39954.04
1_4_2013-02-22,39954.04
1_4_2013-03-01,39954.04
1_4_2013-03-08,39954.04
1_4_2013-03-15,39954.04
1_4_2013-03-22,39954.04
1_4_2013-03-29,39954.04
1_4_2013-04-05,39954.04
1_4_2013-04-12,39954.04
1_4_2013-04-19,39954.04
1_4_2013-04-26,39954.04
1_4_2013-05-03,39954.04
1_4_2013-05-10,39954.04
1_4_2013-05-17,39954.04
1_4_2013-05-24,36380.36
1_4_2013-05-31,40548.19
1_4_2013-06-07,36579.96
1_4_2013-06-14,36579.96
1_4_2013-06-21,36579.96
1_4_2013-06-28,39773.71
1_4_2013-07-05,39781.45
1_4_2013-07-12,39781.45
1_4_2013-07-19,39781.45
1_4_2013-07-26,39781.45
1_5_2012-11-02,16377.46
1_5_2012-11-09,16377.46
1_5_2012-11-16,16377.46
1_5_2012-11-23,70158.86
1_5_2012-11-30,36472.02
1_5_2012-12-07,36472.02
1_5_2012-12-14,36472.02
1_5_2012-12-21,85676.09
1_5_2012-12-28,85676.09
1_5_2013-01-04,22699.69
1_5_2013-01-11,17445.37
1_5_2013-01-18,17445.37
1_5_2013-01-25,22118.7
1_5_2013-02-01,32229.38
1_5_2013-02-08,29620.81
1_5_2013-02-15,32229.38
1_5_2013-02-22,24101.89
1_5_2013-03-01,23082.14
1_5_2013-03-08,23082.14
1_5_2013-03-15,23082.14
1_5_2013-03-22,23082.14
1_5_2013-03-29,23082.14
1_5_2013-04-05,18516.45
1_5_2013-04-12,11570.27
1_5_2013-04-19,11570.27
1_5_2013-04-26,11570.27
1_5_2013-05-03,11570.27
1_5_2013-05-10,11570.27
1_5_2013-05-17,11570.27
1_5_2013-05-24,11570.27
1_5_2013-05-31,11570.27
1_5_2013-06-07,11570.27
1_5_2013-06-14,11570.27
1_5_2013-06-21,11570.27
1_5_2013-06-28,11570.27
1_5_2013-07-05,11570.27
1_5_2013-07-12,11570.27
1_5_2013-07-19,11570.27
1_5_2013-07-26,11570.27
1_6_2012-11-02,6982.17
1_6_2012-11-09,6982.17
1_6_2012-11-16,6982.17
1_6_2012-11-23,20163.69
1_6_2012-11-30,6356.96
1_6_2012-12-07,6440.06
1_6_2012-12-14,12078.11
1_6_2012-12-21,28497.52
1_6_2012-12-28,5878.25
1_6_2013-01-04,5749.03
1_6_2013-01-11,5749.03
1_6_2013-01-18,5749.03
1_6_2013-01-25,5749.03
1_6_2013-02-01,5749.03
1_6_2013-02-08,9135.0
1_6_2013-02-15,5749.03
1_6_2013-02-22,5244.56
1_6_2013-03-01,4221.25
1_6_2013-03-08,4221.25
1_6_2013-03-15,4221.25
1_6_2013-03-22,4221.25
1_6_2013-03-29,4221.25
1_6_2013-04-05,4221.25
1_6_2013-04-12,4221.25
1_6_2013-04-19,4221.25
1_6_2013-04-26,4221.25
1_6_2013-05-03,7477.7
1_6_2013-05-10,6982.17
1_6_2013-05-17,6982.17
1_6_2013-05-24,6982.17
1_6_2013-05-31,6982.17
1_6_2013-06-07,6982.17
1_6_2013-06-14,6982.17
