Id,Weekly_Sales
1_1_2012-11-02,38640.93
1_1_2012-11-09,19549.39
1_1_2012-11-16,19549.39
1_1_2012-11-23,20911.25
1_1_2012-11-30,25293.49
1_1_2012-12-07,31497.65
1_1_2012-12-14,45773.03
1_1_2012-12-21,55931.23
1_1_2012-12-28,19124.58
1_1_2013-01-04,16567.69
1_1_2013-01-11,16894.4
1_1_2013-01-18,17341.47
1_1_2013-01-25,17341.47
1_1_2013-02-01,24924.5
1_1_2013-02-08,36988.49
1_1_2013-02-15,54060.1
1_1_2013-02-22,20124.22
1_1_2013-03-01,22136.64
1_1_2013-03-08,22136.64
1_1_2013-03-15,22136.64
1_1_2013-03-22,26229.21
1_1_2013-03-29,20398.09
1_1_2013-04-05,20398.09
1_1_2013-04-12,17596.96
1_1_2013-04-19,16145.35
1_1_2013-04-26,16555.11
1_1_2013-05-03,20138.19
1_1_2013-05-10,18926.74
1_1_2013-05-17,18517.79
1_1_2013-05-24,15793.87
1_1_2013-05-31,18517.79
1_1_2013-06-07,18517.79
1_1_2013-06-14,18517.79
1_1_2013-06-21,18517.79
1_1_2013-06-28,18517.79
1_1_2013-07-05,16241.78
1_1_2013-07-12,18517.79
1_1_2013-07-19,18517.79
1_1_2013-07-26,18517.79
1_2_2012-11-02,48577.08
1_2_2012-11-09,50581.06
1_2_2012-11-16,41443.25
1_2_2012-11-23,41443.25
1_2_2012-11-30,41443.25
1_2_2012-12-07,41443.25
1_2_2012-12-14,51137.42
1_2_2012-12-21,65615.36
1_2_2012-12-28,35819.83
1_2_2013-01-04,44481.38
1_2_2013-01-11,43353.09
1_2_2013-01-18,43753.43
1_2_2013-01-25,43753.43
1_2_2013-02-01,45008.22
1_2_2013-02-08,54322.24
1_2_2013-02-15,50581.06
1_2_2013-02-22,50581.06
1_2_2013-03-01,50605.27
1_2_2013-03-08,50605.27
1_2_2013-03-15,43615.49
1_2_2013-03-22,51805.88
1_2_2013-03-29,41892.55
1_2_2013-04-05,41892.55
1_2_2013-04-12,41892.55
1_2_2013-04-19,47346.32
1_2_2013-04-26,41892.55
1_2_2013-05-03,47346.32
1_2_2013-05-10,49439.58
1_2_2013-05-17,46729.91
1_2_2013-05-24,41892.55
1_2_2013-05-31,47629.14
1_2_2013-06-07,41892.55
1_2_2013-06-14,51805.88
1_2_2013-06-21,44411.95
1_2_2013-06-28,44411.95
1_2_2013-07-05,45008.22
1_2_2013-07-12,41892.55
1_2_2013-07-19,41892.55
1_2_2013-07-26,41892.55
1_3_2012-11-02,11676.98
1_3_2012-11-09,11676.98
1_3_2012-11-16,8097.92
1_3_2012-11-23,9350.9
1_3_2012-11-30,8097.92
1_3_2012-12-07,11219.78
1_3_2012-12-14,11219.78
1_3_2012-12-21,11219.78
1_3_2012-12-28,8266.14
1_3_2013-01-04,15808.15
1_3_2013-01-11,15808.15
1_3_2013-01-18,13740.12
1_3_2013-01-25,13740.12
1_3_2013-02-01,13740.12
1_3_2013-02-08,13740.12
1_3_2013-02-15,13740.12
1_3_2013-02-22,13740.12
1_3_2013-03-01,13740.12
1_3_2013-03-08,13740.12
1_3_2013-03-15,9001.37
1_3_2013-03-22,9001.37
1_3_2013-03-29,9001.37
1_3_2013-04-05,9001.37
1_3_2013-04-12,9001.37
1_3_2013-04-19,9001.37
1_3_2013-04-26,9001.37
1_3_2013-05-03,9001.37
1_3_2013-05-10,9001.37
1_3_2013-05-17,8609.82
1_3_2013-05-24,8412.69
1_3_2013-05-31,8412.69
1_3_2013-06-07,8614.64
1_3_2013-06-14,8201.06
1_3_2013-06-21,7301.41
1_3_2013-06-28,8473.71
1_3_2013-07-05,7857.88
1_3_2013-07-12,13751.3
1_3_2013-07-19,20126.95
1_3_2013-07-26,22716.7
1_4_2012-11-02,38073.91
1_4_2012-11-09,38073.91
1_4_2012-11-16,39758.77
1_4_2012-11-23,47785.93
1_4_2012-11-30,47785.93
1_4_2012-12-07,46201.27
1_4_2012-12-14,47785.93
1_4_2012-12-21,46201.27
1_4_2012-12-28,46201.27
1_4_2013-01-04,40925.76
1_4_2013-01-11,40925.76
1_4_2013-01-18,39954.04
1_4_2013-01-25,39954.04
1_4_2013-02-01,44936.96
1_4_2013-02-08,44936.96
1_4_2013-02-15,38073.91
1_4_2013-02-22,38459.98
1_4_2013-03-01,36586.52
1_4_2013-03-08,41124.27
1_4_2013-03-15,39954.04
1_4_2013-03-22,41897.55
1_4_2013-03-29,39954.04
1_4_2013-04-05,39954.04
1_4_2013-04-12,39954.04
1_4_2013-04-19,41124.27
1_4_2013-04-26,39954.04
1_4_2013-05-03,41124.27
1_4_2013-05-10,37400.31
1_4_2013-05-17,36550.46
1_4_2013-05-24,41566.55
1_4_2013-05-31,41566.55
1_4_2013-06-07,36579.96
1_4_2013-06-14,44936.96
1_4_2013-06-21,44936.96
1_4_2013-06-28,36550.46
1_4_2013-07-05,41897.55
1_4_2013-07-12,39781.45
1_4_2013-07-19,39781.45
1_4_2013-07-26,39781.45
1_5_2012-11-02,20443.05
1_5_2012-11-09,20443.05
1_5_2012-11-16,20443.05
1_5_2012-11-23,79340.15
1_5_2012-11-30,36472.02
1_5_2012-12-07,36472.02
1_5_2012-12-14,36472.02
1_5_2012-12-21,85676.09
1_5_2012-12-28,85676.09
1_5_2013-01-04,22699.69
1_5_2013-01-11,17445.37
1_5_2013-01-18,17445.37
1_5_2013-01-25,21376.42
1_5_2013-02-01,28307.43
1_5_2013-02-08,28307.43
1_5_2013-02-15,38096.04
1_5_2013-02-22,28307.43
1_5_2013-03-01,30797.88
1_5_2013-03-08,21498.92
1_5_2013-03-15,22632.57
1_5_2013-03-22,28307.43
1_5_2013-03-29,38971.89
1_5_2013-04-05,28386.81
1_5_2013-04-12,11570.27
1_5_2013-04-19,11570.27
1_5_2013-04-26,11570.27
1_5_2013-05-03,11570.27
1_5_2013-05-10,19369.52
1_5_2013-05-17,11570.27
1_5_2013-05-24,11570.27
1_5_2013-05-31,11570.27
1_5_2013-06-07,11570.27
1_5_2013-06-14,11570.27
1_5_2013-06-21,11570.27
1_5_2013-06-28,11570.27
1_5_2013-07-05,11570.27
1_5_2013-07-12,11570.27
1_5_2013-07-19,11570.27
1_5_2013-07-26,11570.27
1_6_2012-11-02,4132.61
1_6_2012-11-09,4132.61
1_6_2012-11-16,4132.61
1_6_2012-11-23,18629.83
1_6_2012-11-30,6629.6
1_6_2012-12-07,6629.6
1_6_2012-12-14,6356.96
1_6_2012-12-21,18931.11
1_6_2012-12-28,5878.25
1_6_2013-01-04,5749.03
1_6_2013-01-11,5749.03
1_6_2013-01-18,5749.03
1_6_2013-01-25,5749.03
1_6_2013-02-01,5749.03
1_6_2013-02-08,9135.0
1_6_2013-02-15,6060.26
1_6_2013-02-22,5244.56
1_6_2013-03-01,5244.56
1_6_2013-03-08,5619.0
1_6_2013-03-15,5619.0
1_6_2013-03-22,5619.0
1_6_2013-03-29,4132.61
1_6_2013-04-05,4132.61
1_6_2013-04-12,4132.61
1_6_2013-04-19,4132.61
1_6_2013-04-26,4132.61
1_6_2013-05-03,4132.61
1_6_2013-05-10,4132.61
1_6_2013-05-17,4132.61
1_6_2013-05-24,4132.61
1_6_2013-05-31,4132.61
1_6_2013-06-07,4132.61
1_6_2013-06-14,4132.61
