Id,Weekly_Sales
1_1_2012-11-02,72782.0412773
1_1_2012-11-09,68043.7655434
1_1_2012-11-16,70845.4341971
1_1_2012-11-23,57367.8291253
1_1_2012-11-30,68351.3512338
1_1_2012-12-07,62388.4159817
1_1_2012-12-14,73930.257953
1_1_2012-12-21,70763.356347
1_1_2012-12-28,70429.7042663
1_1_2013-01-04,58478.4400999
1_1_2013-01-11,58140.7516163
1_1_2013-01-18,65270.0851346
1_1_2013-01-25,61087.0596385
1_1_2013-02-01,63643.8131896
1_1_2013-02-08,64213.538086
1_1_2013-02-15,67333.6437207
1_1_2013-02-22,65382.931292
1_1_2013-03-01,67664.9444563
1_1_2013-03-08,65229.3238002
1_1_2013-03-15,64069.6085172
1_1_2013-03-22,61362.124254
1_1_2013-03-29,64908.6972952
1_1_2013-04-05,60385.6384445
1_1_2013-04-12,60516.3016058
1_1_2013-04-19,58749.7492344
1_1_2013-04-26,61376.3411427
1_1_2013-05-03,-46433.850388
1_1_2013-05-10,-50079.6736769
1_1_2013-05-17,-49305.9040368
1_1_2013-05-24,-50970.4591798
1_1_2013-05-31,-51496.2385174
1_1_2013-06-07,-53249.3444556
1_1_2013-06-14,-51243.939064
1_1_2013-06-21,-53144.6330792
1_1_2013-06-28,-55473.2095605
1_1_2013-07-05,-51466.2987776
1_1_2013-07-12,-54467.513363
1_1_2013-07-19,-54151.9406726
1_1_2013-07-26,-51769.9829807
1_2_2012-11-02,61402.9115683
1_2_2012-11-09,62093.996876
1_2_2012-11-16,61730.991511
1_2_2012-11-23,57215.9793505
1_2_2012-11-30,59970.3899249
1_2_2012-12-07,60662.3274021
1_2_2012-12-14,60988.3951261
1_2_2012-12-21,61496.5347202
1_2_2012-12-28,57927.1310897
1_2_2013-01-04,56480.5426653
1_2_2013-01-11,58291.2647628
1_2_2013-01-18,59457.2748116
1_2_2013-01-25,59083.6612438
1_2_2013-02-01,63564.5208525
1_2_2013-02-08,65720.2768652
1_2_2013-02-15,71234.2542091
1_2_2013-02-22,63830.104129
1_2_2013-03-01,60536.5304404
1_2_2013-03-08,59727.1471208
1_2_2013-03-15,59666.5798355
1_2_2013-03-22,61524.9769674
1_2_2013-03-29,60689.4622161
1_2_2013-04-05,59887.4846243
1_2_2013-04-12,59252.5704084
1_2_2013-04-19,59258.3264592
1_2_2013-04-26,58870.1022822
1_2_2013-05-03,21111.6131835
1_2_2013-05-10,21111.8660894
