Id,Weekly_Sales
1_1_2012-11-02,18378.16
1_1_2012-11-09,18947.81
1_1_2012-11-16,18378.16
1_1_2012-11-23,20911.25
1_1_2012-11-30,25293.49
1_1_2012-12-07,25293.49
1_1_2012-12-14,45773.03
1_1_2012-12-21,45773.03
1_1_2012-12-28,54060.1
1_1_2013-01-04,54060.1
1_1_2013-01-11,16894.4
1_1_2013-01-18,46788.75
1_1_2013-01-25,18365.1
1_1_2013-02-01,21140.07
1_1_2013-02-08,21140.07
1_1_2013-02-15,16567.69
1_1_2013-02-22,18378.16
1_1_2013-03-01,46788.75
1_1_2013-03-08,18378.16
1_1_2013-03-15,18365.1
1_1_2013-03-22,22107.7
1_1_2013-03-29,18378.16
1_1_2013-04-05,21140.07
1_1_2013-04-12,18947.81
1_1_2013-04-19,19050.66
1_1_2013-04-26,19050.66
1_1_2013-05-03,28952.86
1_1_2013-05-10,18947.81
1_1_2013-05-17,18947.81
1_1_2013-05-24,16633.41
1_1_2013-05-31,16065.49
1_1_2013-06-07,18947.81
1_1_2013-06-14,16633.41
1_1_2013-06-21,16633.41
1_1_2013-06-28,16633.41
1_1_2013-07-05,15731.18
1_1_2013-07-12,16348.06
1_1_2013-07-19,16348.06
1_1_2013-07-26,16348.06
1_2_2012-11-02,44411.95
1_2_2012-11-09,46729.91
1_2_2012-11-16,47080.12
1_2_2012-11-23,44259.59
1_2_2012-11-30,44259.59
1_2_2012-12-07,49771.92
1_2_2012-12-14,43991.18
1_2_2012-12-21,65615.36
1_2_2012-12-28,65615.36
1_2_2013-01-04,41556.23
1_2_2013-01-11,43997.78
1_2_2013-01-18,45561.85
1_2_2013-01-25,41556.23
1_2_2013-02-01,49424.06
1_2_2013-02-08,49424.06
1_2_2013-02-15,49424.06
1_2_2013-02-22,50995.5
1_2_2013-03-01,44493.61
1_2_2013-03-08,43997.78
1_2_2013-03-15,46637.48
1_2_2013-03-22,50581.06
1_2_2013-03-29,47425.29
1_2_2013-04-05,47425.29
1_2_2013-04-12,43997.78
1_2_2013-04-19,43997.78
1_2_2013-04-26,43997.78
1_2_2013-05-03,44796.03
1_2_2013-05-10,44481.38
1_2_2013-05-17,46729.91
1_2_2013-05-24,49771.92
1_2_2013-05-31,44259.59
1_2_2013-06-07,45784.76
1_2_2013-06-14,49771.92
1_2_2013-06-21,49771.92
1_2_2013-06-28,46637.48
1_2_2013-07-05,49771.92
1_2_2013-07-12,45108.22
1_2_2013-07-19,45108.22
1_2_2013-07-26,41556.23
1_3_2012-11-02,43712.78
1_3_2012-11-09,43712.78
1_3_2012-11-16,43712.78
1_3_2012-11-23,9350.9
1_3_2012-11-30,43712.78
1_3_2012-12-07,43712.78
1_3_2012-12-14,43712.78
1_3_2012-12-21,43712.78
1_3_2012-12-28,43712.78
1_3_2013-01-04,43712.78
1_3_2013-01-11,43712.78
1_3_2013-01-18,43712.78
1_3_2013-01-25,43712.78
1_3_2013-02-01,50701.3
1_3_2013-02-08,50701.3
1_3_2013-02-15,50701.3
1_3_2013-02-22,50701.3
1_3_2013-03-01,43712.78
1_3_2013-03-08,43712.78
1_3_2013-03-15,43712.78
1_3_2013-03-22,43712.78
1_3_2013-03-29,43712.78
1_3_2013-04-05,43712.78
1_3_2013-04-12,43712.78
1_3_2013-04-19,18368.51
1_3_2013-04-26,43712.78
1_3_2013-05-03,9317.56
1_3_2013-05-10,11387.31
1_3_2013-05-17,10104.36
1_3_2013-05-24,10104.36
1_3_2013-05-31,9317.56
1_3_2013-06-07,10104.36
1_3_2013-06-14,10104.36
1_3_2013-06-21,10104.36
1_3_2013-06-28,10104.36
1_3_2013-07-05,10104.36
1_3_2013-07-12,10104.36
1_3_2013-07-19,9317.56
1_3_2013-07-26,9317.56
1_4_2012-11-02,38459.98
1_4_2012-11-09,38459.98
1_4_2012-11-16,38489.63
1_4_2012-11-23,47785.93
1_4_2012-11-30,36826.52
1_4_2012-12-07,36826.52
1_4_2012-12-14,47785.93
1_4_2012-12-21,47785.93
1_4_2012-12-28,47785.93
1_4_2013-01-04,34953.85
1_4_2013-01-11,34953.85
1_4_2013-01-18,33780.2
1_4_2013-01-25,33780.2
1_4_2013-02-01,47785.93
1_4_2013-02-08,38489.63
1_4_2013-02-15,38459.98
1_4_2013-02-22,38459.98
1_4_2013-03-01,33780.2
1_4_2013-03-08,38489.63
1_4_2013-03-15,38125.32
1_4_2013-03-22,47785.93
1_4_2013-03-29,37371.22
1_4_2013-04-05,37371.22
1_4_2013-04-12,38934.77
1_4_2013-04-19,47785.93
1_4_2013-04-26,47785.93
1_4_2013-05-03,47785.93
1_4_2013-05-10,38080.05
1_4_2013-05-17,36550.46
1_4_2013-05-24,47785.93
1_4_2013-05-31,47785.93
1_4_2013-06-07,38489.63
1_4_2013-06-14,47785.93
1_4_2013-06-21,38489.63
1_4_2013-06-28,38105.9
1_4_2013-07-05,47785.93
1_4_2013-07-12,47785.93
1_4_2013-07-19,38489.63
1_4_2013-07-26,35044.06
1_5_2012-11-02,29345.72
1_5_2012-11-09,31002.65
1_5_2012-11-16,21376.42
1_5_2012-11-23,43479.7
1_5_2012-11-30,43479.7
1_5_2012-12-07,32572.27
1_5_2012-12-14,43479.7
1_5_2012-12-21,32572.27
1_5_2012-12-28,61483.82
1_5_2013-01-04,38096.04
1_5_2013-01-11,19298.42
1_5_2013-01-18,38096.04
1_5_2013-01-25,19298.42
1_5_2013-02-01,21376.42
1_5_2013-02-08,28307.43
1_5_2013-02-15,31002.65
1_5_2013-02-22,29345.72
1_5_2013-03-01,46219.96
1_5_2013-03-08,25492.21
1_5_2013-03-15,29345.72
1_5_2013-03-22,28307.43
1_5_2013-03-29,25442.13
1_5_2013-04-05,25442.13
1_5_2013-04-12,29345.72
1_5_2013-04-19,27339.37
1_5_2013-04-26,27339.37
1_5_2013-05-03,27339.37
1_5_2013-05-10,30797.88
1_5_2013-05-17,31002.65
1_5_2013-05-24,28307.43
1_5_2013-05-31,27339.37
1_5_2013-06-07,28307.43
1_5_2013-06-14,28307.43
1_5_2013-06-21,28307.43
1_5_2013-06-28,29345.72
1_5_2013-07-05,28307.43
1_5_2013-07-12,28307.43
1_5_2013-07-19,28307.43
1_5_2013-07-26,25442.13
1_6_2012-11-02,3496.53
1_6_2012-11-09,3496.53
1_6_2012-11-16,4159.51
1_6_2012-11-23,18931.11
1_6_2012-11-30,18931.11
1_6_2012-12-07,6629.6
1_6_2012-12-14,6629.6
1_6_2012-12-21,6629.6
1_6_2012-12-28,6629.6
1_6_2013-01-04,1649.4
1_6_2013-01-11,2460.92
1_6_2013-01-18,2460.92
1_6_2013-01-25,2828.03
1_6_2013-02-01,2828.03
1_6_2013-02-08,3496.53
1_6_2013-02-15,6464.52
1_6_2013-02-22,3496.53
1_6_2013-03-01,2988.96
1_6_2013-03-08,3496.53
1_6_2013-03-15,4032.5
1_6_2013-03-22,3496.53
1_6_2013-03-29,2988.96
1_6_2013-04-05,2988.96
1_6_2013-04-12,3496.53
1_6_2013-04-19,2988.96
1_6_2013-04-26,2988.96
1_6_2013-05-03,2856.83
1_6_2013-05-10,4159.51
1_6_2013-05-17,3168.68
1_6_2013-05-24,18629.83
1_6_2013-05-31,3249.75
1_6_2013-06-07,3496.53
1_6_2013-06-14,3496.53
1_6_2013-06-21,3496.53
1_6_2013-06-28,-139.65
1_6_2013-07-05,18629.83
1_6_2013-07-12,2545.65
1_6_2013-07-19,3496.53
1_6_2013-07-26,3249.75
1_7_2012-11-02,15802.09
1_7_2012-11-09,15159.94
1_7_2012-11-16,21953.16
1_7_2012-11-23,71151.34
1_7_2012-11-30,69511.06
1_7_2012-12-07,71151.34
1_7_2012-12-14,33118.33
1_7_2012-12-21,119302.15
1_7_2012-12-28,119302.15
1_7_2013-01-04,9194.61
1_7_2013-01-11,9194.61
1_7_2013-01-18,10189.61
1_7_2013-01-25,10189.61
1_7_2013-02-01,27364.96
1_7_2013-02-08,27364.96
1_7_2013-02-15,15159.94
1_7_2013-02-22,15159.94
1_7_2013-03-01,15628.59
1_7_2013-03-08,17500.24
1_7_2013-03-15,20690.01
