Id,Weekly_Sales
1_1_2012-11-02,77077.1775005
1_1_2012-11-09,71421.0793809
1_1_2012-11-16,77876.3894354
1_1_2012-11-23,66027.80899
1_1_2012-11-30,74881.8826173
1_1_2012-12-07,65362.6165886
1_1_2012-12-14,82613.8187877
1_1_2012-12-21,78615.3668337
1_1_2012-12-28,78299.3267641
1_1_2013-01-04,65115.8880069
1_1_2013-01-11,64155.3207303
1_1_2013-01-18,76062.6332707
1_1_2013-01-25,68993.2240345
1_1_2013-02-01,70075.2658171
1_1_2013-02-08,73357.0743636
1_1_2013-02-15,79781.9619632
1_1_2013-02-22,72546.8620342
1_1_2013-03-01,76169.2201095
1_1_2013-03-08,72910.6687368
1_1_2013-03-15,70281.1249412
1_1_2013-03-22,65949.7457419
1_1_2013-03-29,73913.8066851
1_1_2013-04-05,66682.3856969
1_1_2013-04-12,66354.7669765
1_1_2013-04-19,64090.887662
1_1_2013-04-26,68662.5635992
1_1_2013-05-03,-155713.588949
1_1_2013-05-10,-159188.095673
1_1_2013-05-17,-159273.83664
1_1_2013-05-24,-163858.803411
1_1_2013-05-31,-164647.321746
1_1_2013-06-07,-166111.812689
1_1_2013-06-14,-164219.242474
1_1_2013-06-21,-167252.497167
1_1_2013-06-28,-170912.853028
1_1_2013-07-05,-165217.863526
1_1_2013-07-12,-168499.758731
1_1_2013-07-19,-168426.34917
1_1_2013-07-26,-166756.769194
1_2_2012-11-02,132844.065083
1_2_2012-11-09,133191.013654
1_2_2012-11-16,133333.237179
1_2_2012-11-23,125585.721795
1_2_2012-11-30,130820.393435
1_2_2012-12-07,131082.497008
1_2_2012-12-14,132855.090371
1_2_2012-12-21,133326.150324
1_2_2012-12-28,129267.735297
1_2_2013-01-04,121386.2925
1_2_2013-01-11,123866.776982
1_2_2013-01-18,126852.922424
1_2_2013-01-25,126192.711657
1_2_2013-02-01,131229.469162
1_2_2013-02-08,134889.530397
1_2_2013-02-15,136894.256009
1_2_2013-02-22,129921.747079
1_2_2013-03-01,126682.795663
1_2_2013-03-08,126005.037749
1_2_2013-03-15,125932.646845
1_2_2013-03-22,127614.34202
1_2_2013-03-29,126892.373336
1_2_2013-04-05,125629.776381
1_2_2013-04-12,125845.466349
1_2_2013-04-19,125847.967202
1_2_2013-04-26,125322.68451
1_2_2013-05-03,-45343.895625
1_2_2013-05-10,-46158.5929187
1_2_2013-05-17,-44150.1198724
1_2_2013-05-24,-45924.8022124
1_2_2013-05-31,-47274.798847
1_2_2013-06-07,-47670.7927669
1_2_2013-06-14,-44779.292585
1_2_2013-06-21,-46602.3458238
1_2_2013-06-28,-48151.6629273
1_2_2013-07-05,-46292.8210108
